ID,TYPE,SUBTYPE,PHYSICAL_RES,ENERGY_RES,RADIATION_RES,LOCATIONS_COVERED,WEIGHT,COST,RARITY,DESCRIPTION,AVAILABLE_MODS
armorRaiderChest,armor,raider,1,1,0,"[""torso""]",7,18,0,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorRaiderLeg,armor,raider,1,1,0,"[""leg""]",3,8,0,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorRaiderArm,armor,raider,1,1,0,"[""arm""]",3,6,0,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorRaiderSturdyChest,armor,raider,2,2,0,"[""torso""]",12,33,1,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorRaiderSturdyLeg,armor,raider,2,2,0,"[""leg""]",7,13,1,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorRaiderSturdyArm,armor,raider,2,2,0,"[""arm""]",7,8,1,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorRaiderHeavyChest,armor,raider,3,3,0,"[""torso""]",17,48,2,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorRaiderHeavyLeg,armor,raider,3,3,0,"[""leg""]",10,18,2,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorRaiderHeavyArm,armor,raider,3,3,0,"[""arm""]",10,15,2,"Fatte di rottami rozzamente modellati a martellate, rinforzati con tondini, cavi metallici e strisce di cuoio. Spesso macabri trofei, come crani o altre parti del corpo, contribuiscono ad accrescerne l’aspetto barbaro.",Material: Indurita; Rinvenuta; Saldata; Temprata; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorLeatherChest,armor,leather,1,2,0,"[""torso""]",5,25,1,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorLeatherLeg,armor,leather,1,2,0,"[""leg""]",2,10,1,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
armorLeatherArm,armor,leather,1,2,0,"[""arm""]",2,8,1,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Aerodinamiche; Bilanciate; Lavorate; Picchiatore; Stabilizzate
armorLeatherSturdyChest,armor,leather,2,3,0,"[""torso""]",10,50,2,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Alta Densità; BioCommMesh; Imbottito; Pneumatico; Rivestimento d’Amianto
armorLeatherSturdyLeg,armor,leather,2,3,0,"[""leg""]",5,20,2,"Fatti con pelli di animale trattate e conciate, questi pezzi di cuoio indurito offrono una modesta protezione dagli impatti fisici e dai colpi di pistola, oltre a isolare chi le indossa da fuoco e altre energie pericolose.",Material: Cuoio Bollito; Cuoio Borchiato; Cuoio Fasciato; Cuoio Ombrato; Cuoio Trattato; Improvement: Leggera; Capiente; Molto Capiente; Piombata; Ultraleggera; Ammortizzate; Attenuate
