ID,TYPE,CATEGORY,DURATION,HP_GAIN,RADIOACTIVE,ADDICTIVE,WEIGHT,COST,RARITY
drinkPurifiedWater,aid,drinks,durationInstant,3,0,,0,20,1
drinkDirtyWater,aid,drinks,durationInstant,2,1,,0,5,0
drinkRefreshingBeverage,aid,drinks,durationInstant,11,0,,0.5,110,5
drinkBeer,aid,drinks,durationInstant,0,0,,0.5,5,1
drinkBourbon,aid,drinks,durationInstant,0,0,,0.5,7,2
drinkDirtyWastelander,aid,drinks,durationInstant,0,0,,0.5,10,3
drinkBrahminMilk,aid,drinks,durationInstant,1,0,,0,15,2
drinkMoonshine,aid,drinks,durationInstant,0,0,,0,30,3
drinkNukaCherry,aid,drinks,durationInstant,3,1,,0.5,40,3
drinkNukaCola,aid,drinks,durationInstant,2,1,,0.5,20,2
drinkNukaColaQuantum,aid,drinks,durationInstant,10,1,,0.5,50,5
drinkRum,aid,drinks,durationInstant,0,0,,0.5,8,2
drinkBloodPack,aid,drinks,durationInstant,3,0,,0,10,2
drinkGlowingBloodPack,aid,drinks,durationInstant,4,0,,0,30,3
drinkIrradiatedBlood,aid,drinks,durationInstant,3,1,,0,50,2
drinkTarberryJuice,aid,drinks,durationInstant,3,0,,0,5,4
drinkMelonJuice,aid,drinks,durationInstant,3,0,,0,6,2
drinkMutfruitJuice,aid,drinks,durationInstant,3,0,,0,8,2
drinkTatoJuice,aid,drinks,durationInstant,3,0,,0,7,3
drinkWine,aid,drinks,durationInstant,0,0,,0.5,5,3
drinkVodka,aid,drinks,durationInstant,2,0,,0.5,5,3
drinkWhiskey,aid,drinks,durationInstant,0,0,,0.5,5,3
drinkSunsetSarsaparilla,aid,drinks,durationInstant,4,1,,0.5,20,2
