ID,TYPE,CATEGORY,DURATION,HP_GAIN,RADIOACTIVE,ADDICTIVE,WEIGHT,COST,RARITY
foodHermitCrabMeat,aid,food,durationInstant,8,1,,0.5,22,3
foodGrilledHermitCrab,aid,food,durationInstant,10,1,,0.5,130,4
foodMegaSlothMeat,aid,food,durationInstant,7,1,,0.5,80,3
foodMegaSlothMushroom,aid,food,durationInstant,4,1,,0,40,2
foodRoastedMirelurkMeat,aid,food,durationInstant,8,0,,0,40,2
foodYaoGuaiRoast,aid,food,durationInstant,14,0,,0.5,110,4
foodTarberry,aid,food,durationInstant,3,1,,0,5,3
foodDeathclawSteak,aid,food,durationInstant,14,0,,0.5,130,4
foodMirelurkQueenSteak,aid,food,durationInstant,14,0,,0.5,130,5
foodRadscorpionSteak,aid,food,durationInstant,12,0,,0.5,65,3
foodBloodbugSteak,aid,food,durationInstant,10,0,,0,18,2
foodRibeyeSteak,aid,food,durationInstant,10,0,,0.5,40,2
foodSalisburySteak,aid,food,durationInstant,5,1,,0,20,0
foodIguanaBits,aid,food,durationInstant,4,1,,0,8,1
foodSquirrelBits,aid,food,durationInstant,4,1,,0,4,1
foodCrispySquirrelBits,aid,food,durationInstant,6,0,,0,6,2
foodGumDrops,aid,food,durationInstant,3,1,,0,5,0
foodCookedSoftshellMeat,aid,food,durationInstant,9,0,,0,40,3
foodCram,aid,food,durationInstant,5,1,,0,25,1
foodMongrelDogMeat,aid,food,durationInstant,4,1,,0,8,0
foodBrahminMeat,aid,food,durationInstant,3,1,,0.5,28,1
foodRadstagMeat,aid,food,durationInstant,8,1,,0.5,50,1
foodDeathclawMeat,aid,food,durationInstant,9,1,,0.5,110,3
foodMirelurkMeat,aid,food,durationInstant,6,1,,0,18,1
foodSoftshellMirelurkMeat,aid,food,durationInstant,6,1,,0,22,2
foodBloatflyMeat,aid,food,durationInstant,2,1,,0,8,0
foodMoleRatMeat,aid,food,durationInstant,5,1,,0,5,0
foodQueenMirelurkMeat,aid,food,durationInstant,10,1,,0,22,4
foodRadroachMeat,aid,food,durationInstant,4,1,,0,3,0
foodRadscorpionMeat,aid,food,durationInstant,9,1,,0.5,55,2
foodMutantHoundMeat,aid,food,durationInstant,5,1,,0,8,2
foodStingwingMeat,aid,food,durationInstant,8,1,,0,30,1
foodBloodbugMeat,aid,food,durationInstant,7,1,,0,8,1
foodYaoGuaiMeat,aid,food,durationInstant,9,1,,0.5,85,3
foodPottedMeat,aid,food,durationInstant,6,1,,0.5,25,0
foodCarrot,aid,food,durationInstant,3,1,,0,3,1
foodGrilledRadstag,aid,food,durationInstant,11,0,,0.5,60,2
foodCannedDogFood,aid,food,durationInstant,3,1,,0,6,0
foodMelon,aid,food,durationInstant,3,1,,0.5,6,1
foodMuttChops,aid,food,durationInstant,6,0,,0,12,1
foodMutantHoundChops,aid,food,durationInstant,8,0,,0,12,3
foodYaoGuaiRibs,aid,food,durationInstant,13,0,,0.5,90,4
foodPerfectlyPreservedPie,aid,food,durationInstant,5,0,,0,20,3
foodSweetRoll,aid,food,durationInstant,4,1,,0,9,1
foodSiltBean,aid,food,durationInstant,3,1,,0,6,1
foodStingwingFilet,aid,food,durationInstant,11,0,,0,35,2
foodBrainFungus,aid,food,durationInstant,3,1,,0,6,1
foodRazorgrain,aid,food,durationInstant,3,1,,0,5,1
foodCorn,aid,food,durationInstant,3,1,,0,6,1
foodInstaMash,aid,food,durationInstant,4,1,,0,20,0
foodBlamCoMacAndCheese,aid,food,durationInstant,4,1,,0,10,1
foodDandyBoyApples,aid,food,durationInstant,3,1,,0,7,0
foodVegetableSoup,aid,food,durationInstant,7,0,,0.5,13,2
foodBakedBloatfly,aid,food,durationInstant,6,0,,0,15,1
foodMutfruit,aid,food,durationInstant,3,1,,0,8,0
foodDeathclawOmelette,aid,food,durationInstant,11,0,,0,80,4
foodMirelurkEggOmelette,aid,food,durationInstant,7,0,,0,30,3
foodRadscorpionEggOmelette,aid,food,durationInstant,9,0,,0,65,4
foodPaste,aid,food,durationInstant,7,0,,0,0,2
foodPotatoCrisps,aid,food,durationInstant,3,1,,0,7,0
foodMoleRatChunks,aid,food,durationInstant,7,0,,0,8,1
foodPorkNBeans,aid,food,durationInstant,4,1,,0,10,0
foodNoodleCup,aid,food,durationInstant,6,0,,0,20,2
foodInstituteFoodPacket,aid,food,durationInstant,5,0,,0,10,2
foodGrilledRadroach,aid,food,durationInstant,5,0,,0,7,1
foodIguanaOnAStick,aid,food,durationInstant,6,0,,0,33,2
foodSquirrelOnAStick,aid,food,durationInstant,7,0,,0,15,2
foodRadstagStew,aid,food,durationInstant,12,0,,0.5,60,3
foodSquirrelStew,aid,food,durationInstant,10,0,,0.5,24,2
foodSugarBombs,aid,food,durationInstant,4,1,,0,11,0
foodTato,aid,food,durationInstant,3,1,,0,7,1
foodFancyLadsSnacks,aid,food,durationInstant,3,1,,0,18,0
foodMirelurkCake,aid,food,durationInstant,12,0,,0,35,3
foodYumYumDeviledEggs,aid,food,durationInstant,4,1,,0,20,0
foodDeathclawEgg,aid,food,durationInstant,7,1,,0,69,3
foodMirelurkEgg,aid,food,durationInstant,3,1,,0.5,0,2
foodRadscorpionEgg,aid,food,durationInstant,6,1,,0,48,3
foodGourd,aid,food,durationInstant,3,1,,0.5,6,1
foodIguanaSoup,aid,food,durationInstant,10,0,,0.5,21,3
