ID,FOR_TYPE,FOR_CATEGORY,EFFECTS
legendaryAssassinWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryBerserker,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryBlazing,weapon,"[""meleeWeapons""]",[]
legendaryBloodied,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryCavalierWeapon,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryCharged,weapon,"[""meleeWeapons""]",[]
legendaryCrippling,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryDeadeye,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendaryDefiant,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendaryDuelistWeapon,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryEnraging,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryExplosive,weapon,"[""smallGuns""]",[]
legendaryExterminatorWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryFreezing,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryFrigid,weapon,"[""meleeWeapons""]",[]
legendaryFurious,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryGhoulSlayerWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryHitman,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendaryHunterWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryIncendiaryWeapon,weapon,"[""smallGuns""]","[""effectAdd:effectPersistent""]"
legendaryInstigating,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryIrradiated,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""effectAdd:effectRadioactive""]"
legendaryJunkie,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryKneecapper,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryLuckyWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryMutantSlayerWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryNimble,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendaryNocturnal,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryPenetrating,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""effectAdd:effectPiercing:2""]"
legendaryPlasmaInfused,weapon,"[""smallGuns""]","[""damageAdd:2""]"
legendaryPoisonerWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""effectAdd:effectPersistent""]"
legendaryPowerfulMighty,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""damageAdd:2""]"
legendaryQuickdraw,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryRapid,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]","[""fireRateAdd:3""]"
legendaryRelentless,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendarySentinelWeapon,weapon,"[""meleeWeapons"", ""unarmed""]",[]
legendaryStaggering,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""effectAdd:effectStun""]"
legendaryStalker,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendarySteadfast,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]",[]
legendaryTroubleshooterWeapon,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]",[]
legendaryTwoShot,weapon,"[""smallGuns"", ""energyWeapons"", ""bigGuns""]","[""effectAdd:effectVicious"",""damageAdd:2"",""qualityAdd:qualityAmmoHungry:2""]"
legendaryViolent,weapon,"[""smallGuns""]","[""damageAdd:2"",""qualityAdd:qualityRecoil:7""]"
legendaryWounding,weapon,"[""smallGuns"", ""bigGuns"", ""energyWeapons"", ""meleeWeapons"", ""unarmed""]","[""effectAdd:effectPersistent""]"
legendaryAcrobat,apparel,"[""leg""]",[]
legendaryAssassinArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryAutoStim,apparel,"[""torso""]",[]
legendaryBolstering,apparel,"[""torso""]",[]
legendaryCavalierArmor,apparel,"[""arm""]",[]
legendaryChameleon,apparel,"[""torso""]",[]
legendaryChampion,apparel,"[""arm""]",[]
legendaryCloaking,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryCryogenic,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryCunning,apparel,"[""head"", ""leg""]",[]
legendaryDuelistArmor,apparel,"[""arm""]",[]
legendaryExterminatorArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryGhoulSlayerArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryHunterArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryIncendiaryArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryLuckyArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryMartyr,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryMutantSlayerArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendaryPoisonerArmor,apparel,"[""torso"", ""arm"", ""leg"", ""head""]","[""drPoisonAdd:4""]"
legendaryPowered,apparel,"[""head"", ""arm"", ""leg""]",[]
legendaryPunishing,apparel,"[""torso"", ""leg""]",[]
legendaryRadPowered,apparel,"[""torso"", ""arm"", ""leg"", ""head""]",[]
legendarySafecracker,apparel,"[""arm""]",[]
legendarySentinelArmor,apparel,"[""arm""]",[]
