ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modArmorHardened,mod,modSlotMaterial,"[""physicalResAdd:4"",""energyResAdd:4""]",1.5,12,repair,"[""perkArmorer:1""]",2,
modAnnealed,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2""]",0.5,6,repair,[],1,
modWelded,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1""]",0.5,3,repair,[],1,
modTempered,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3""]",1,9,repair,"[""perkArmorer:1""]",2,
modBoiledLeather,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1""]",0.5,5,repair,[],1,
modStuddedLeather,mod,modSlotMaterial,"[""physicalResAdd:4"",""energyResAdd:4""]",1,25,repair,"[""perkArmorer:1""]",2,
modBandedLeather,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2""]",0.5,10,repair,[],1,
modShadowedLeather,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3"",""effectAdd:effectShadowed""]",0.5,20,repair,"[""perkArmorer:1""]",2,
modTreatedLeather,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3""]",0.5,15,repair,"[""perkArmorer:1""]",2,
modAlloyedMetal,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3""]",1.5,30,repair,"[""perkArmorer:1""]",2,
modPolishedMetal,mod,modSlotMaterial,"[""physicalResAdd:4"",""energyResAdd:4""]",2,40,repair,"[""perkArmorer:2""]",2,
modShadowedMetal,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2"",""effectAdd:effectShadowed""]",1,25,repair,"[""perkArmorer:1""]",2,
modEnamelledMetal,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2""]",1,20,repair,"[""perkArmorer:1""]",1,
modPaintedMetal,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1""]",0.5,10,repair,[],1,
modShadowedMetalRobot,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1"",""effectAdd:effectShadowed""]",1,25,repair,"[""perkArmorer:1""]",2,
modFiberglass,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2""]",0.5,30,repair,"[""perkArmorer:1""]",2,
modShadowed,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1"",""effectAdd:effectShadowed""]",0.5,15,repair,"[""perkArmorer:1""]",2,
modPolymer,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3""]",1,45,repair,"[""perkArmorer:1""]",2,
modReinforced,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1""]",0.5,15,repair,[],1,
modLaminated,mod,modSlotMaterial,"[""physicalResAdd:1"",""energyResAdd:1""]",0.5,5,repair,[],1,
modMicrocarbon,mod,modSlotMaterial,"[""physicalResAdd:3"",""energyResAdd:3""]",1,15,repair,"[""perkArmorer:1""]",2,
modNanofilament,mod,modSlotMaterial,"[""physicalResAdd:4"",""energyResAdd:4""]",1.5,20,repair,"[""perkArmorer:1""]",2,
modResin,mod,modSlotMaterial,"[""physicalResAdd:2"",""energyResAdd:2""]",0.5,10,repair,"[""perkArmorer:1""]",2,
