ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modChargingBarrels,mod,modSlotBarrel,"[""damageAdd:4"",""fireRateAdd:-3"",""rangeAdd:1""]",5,357,science,"[""perkScience:4""]",7,Corebook
modPhotonicAgitatorGatling,mod,modSlotCapacitor,"[""damageAdd:1"",""effectAdd:effectVicious""]",1.5,132,science,"[""perkScience:3""]",6,Corebook
modBoostedCapacitorGatling,mod,modSlotCapacitor,"[""damageAdd:1""]",0.5,94,science,[],4,Corebook
modBetaWaveTunerGatling,mod,modSlotCapacitor,"[""effectAdd:effectPersistent""]",0.5,57,science,[],4,Corebook
modPhotonicStimulatorGatling,mod,modSlotCapacitor,"[""effectAdd:effectVicious""]",0.5,19,science,"[""perkScience:3""]",6,Corebook
modReflexSightGatling,mod,modSlotSight,"[""qualityRemove:qualityInaccurate""]",0.5,169,science,"[""perkScience:4""]",7,Corebook
modBeamFocuserGatling,mod,modSlotMuzzle,"[""effectAdd:effectPiercing:1"",""rangeAdd:1""]",0,22,science,[],4,Corebook
modCombustionModule,mod,modSlotFuel,"[""effectAdd:effectPersistent""]",0.5,130,repair,"[""perkGunNut:3"",""perkScience:1""]",7,Corebook
modElectrificationModule,mod,modSlotFuel,"[""damageTypeSet:energy"",""effectAdd:effectVicious""]",0.5,70,repair,"[""perkGunNut:2"",""perkScience:1""]",6,Corebook
modRecoilCompensatingStockJunkJet,mod,modSlotStock,"[""fireRateAdd:1""]",1,40,repair,[],2,Corebook
modLongBarrelJunkJet,mod,modSlotBarrel,"[""rangeAdd:1""]",1,20,repair,"[""perkGunNut:1""]",3,Corebook
modGunnerSight,mod,modSlotSight,"[""rerollHitLocation:true""]",0.5,5,repair,[],2,Corebook
modLongBarrelFlamethrower,mod,modSlotBarrel,"[""qualityRemove:qualityInaccurate""]",1,28,repair,[],3,Corebook
modNapalm,mod,modSlotFuel,"[""damageAdd:1""]",3.5,59,repair,[],3,Corebook
modLargeTank,mod,modSlotPropellantTank,"[""fireRateAdd:1""]",1.5,28,repair,[],3,Corebook
modHugeTank,mod,modSlotPropellantTank,"[""fireRateAdd:2""]",3,34,repair,[],4,Corebook
