ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modBeamFocuser,mod,modSlotMuzzle,"[""rangeAdd:1""]",0.5,20,science,"[""perkScience:1""]",4,Corebook
modCompensatingLens,mod,modSlotMuzzle,"[""fireRateAdd:1"",""qualityRemove:qualityInaccurate""]",0.5,25,science,"[""perkScience:1""]",4,Corebook
modBeamSplitter,mod,modSlotMuzzle,"[""damageAdd:-1"",""effectAdd:effectSpread"",""fireRateAdd:-1"",""qualityAdd:qualityInaccurate"",""rangeAdd:-1""]",0.5,15,science,"[""perkScience:1""]",4,Corebook
modFullStockEnergy,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""effectAdd:effectPiercing:1"",""qualityRemove:qualityCloseQuarters""]",0.5,15,repair,[],2,Corebook
modMarksmanStockEnergy,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityAdd:qualityAccurate"",""qualityRemove:qualityCloseQuarters""]",1,20,repair,"[""perkGunNut:2""]",4,Corebook
modRecoilCompensatingStockEnergy,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""fireRateAdd:1"",""qualityRemove:qualityCloseQuarters""]",1,3,repair,"[""perkGunNut:3""]",5,Corebook
modStandardStock,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityRemove:qualityCloseQuarters""]",0.5,10,repair,[],2,Corebook
modAutomaticBarrel,mod,modSlotBarrel,"[""damageAdd:-1"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:1""]",0.5,24,science,"[""perkScience:1""]",4,Corebook
modShortReinforcedBarrel,mod,modSlotBarrel,"[""allowMuzzleMod:true""]",0,6,science,[],3,Corebook
modSniperBarrel,mod,modSlotBarrel,"[""damageAdd:2"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:-1""]",1,30,science,"[""perkScience:1""]",4,Corebook
modFlamerBarrel,mod,modSlotBarrel,"[""damageAdd:-2"",""fireRateAdd:2"",""effectAdd:effectBurst"",""rangeAdd:-1"",""qualityAdd:qualityInaccurate""]",0.5,35,science,"[""perkScience:2""]",5,Corebook
modLongBarrelEnergy,mod,modSlotBarrel,"[""qualityRemove:qualityCloseQuarters"",""rangeAdd:1""]",1,20,science,[],3,Corebook
modLongReinforcedBarrel,mod,modSlotBarrel,"[""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""allowMuzzleMod:true""]",1,25,science,"[""perkScience:1""]",4,Corebook
modImprovedBarrel,mod,modSlotBarrel,"[""damageAdd:1""]",0.5,26,science,"[""perkScience:1""]",4,Corebook
modSplitter,mod,modSlotBarrel,"[""damageAdd:-1"",""effectAdd:effectSpread"",""qualityAdd:qualityInaccurate""]",0.5,31,science,[],3,Corebook
modPhotonicAgitator,mod,modSlotCapacitor,"[""damageAdd:1"",""effectAdd:effectVicious""]",0.5,35,science,"[""perkScience:2""]",4,Corebook
modBoostedCapacitor,mod,modSlotCapacitor,"[""damageAdd:1"",""fireRateAdd:-1""]",0,35,science,[],2,Corebook
modBetaWaveTuner,mod,modSlotCapacitor,"[""effectAdd:effectPersistent""]",0,30,science,[],2,Corebook
modPhotonicStimulator,mod,modSlotCapacitor,"[""effectAdd:effectVicious""]",0,30,science,"[""perkScience:1""]",3,Corebook
modThreeChargeCapacitor,mod,modSlotCapacitor,"[""damageAdd:1"",""ammoConsumption:3""]",0,4,science,[],2,Corebook
modFourChargeCapacitor,mod,modSlotCapacitor,"[""damageAdd:2"",""ammoConsumption:4""]",0.5,8,science,"[""perkScience:1""]",3,Corebook
modFiveChargeCapacitor,mod,modSlotCapacitor,"[""damageAdd:3"",""ammoConsumption:5""]",0.5,12,science,"[""perkScience:2""]",4,Corebook
modSixChargeCapacitor,mod,modSlotCapacitor,"[""damageAdd:4"",""ammoConsumption:6""]",1,16,science,"[""perkScience:3""]",5,Corebook
modElectricSignalAntenna,mod,modSlotMuzzle,"[""damageSet:7"",""damageTypeSet:energy"",""effectAdd:effectRadioactive""]",0,30,science,"[""perkScience:3""]",5,Corebook
modAutomaticSignalRepeater,mod,modSlotMuzzle,"[""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityRemove:qualityBlast""]",0,60,science,"[""perkScience:4""]",6,Corebook
modDeepDish,mod,modSlotDish,"[""damageAdd:1"",""rangeAdd:1""]",1,72,science,"[""perkScience:4""]",6,Corebook
modGammaWaveEmitter,mod,modSlotCapacitor,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,14,science,"[""perkScience:1""]",3,Wanderers DLC
modMaximizedCapacitor,mod,modSlotCapacitor,"[""damageAdd:2""]",0.5,17,science,"[""perkScience:2""]",3,Wanderers DLC
modBoostedPhotonAgitator,mod,modSlotCapacitor,"[""damageAdd:2"",""effectAdd:effectVicious""]",0.5,20,science,"[""perkScience:2""]",4,Wanderers DLC
modBoostedGammaWaveEmitter,mod,modSlotCapacitor,"[""damageAdd:2"",""effectAdd:effectPersistent""]",0.5,23,science,"[""perkScience:2""]",5,Wanderers DLC
modOverchargedCapacitor,mod,modSlotCapacitor,"[""damageAdd:3""]",0.5,42,science,"[""perkScience:3""]",4,Wanderers DLC
modImprovedLongBarrel,mod,modSlotBarrel,"[""damageAdd:1"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1""]",0.5,15,science,"[""perkScience:2""]",4,Wanderers DLC
modImprovedAutomaticBarrel,mod,modSlotBarrel,"[""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:1""]",0.5,18,science,"[""perkScience:3""]",5,Wanderers DLC
modImprovedSniperBarrel,mod,modSlotBarrel,"[""damageAdd:3"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:-1""]",0.5,21,science,"[""perkScience:3""]",5,Wanderers DLC
modImprovedSplitter,mod,modSlotBarrel,"[""effectAdd:effectSpread"",""qualityAdd:qualityInaccurate""]",0.5,25,science,"[""perkScience:3""]",4,Wanderers DLC
modAmplifiedBeamSplitter,mod,modSlotMuzzle,"[""effectAdd:effectSpread"",""fireRateAdd:-1"",""rangeAdd:-1""]",0.5,15,science,"[""perkScience:2""]",5,Wanderers DLC
modFineTunedBeamFocuser,mod,modSlotMuzzle,"[""rangeAdd:1"",""qualityAdd:qualityAccurate""]",0.5,18,science,"[""perkScience:2""]",5,Wanderers DLC
modQuantumGyroCompensatingLens,mod,modSlotMuzzle,"[""fireRateAdd:2"",""qualityRemove:qualityInaccurate""]",0.5,21,science,"[""perkScience:3""]",5,Wanderers DLC
modCapacitorMk3,mod,modSlotCapacitor,"[""damageAdd:1"",""ammoConsumption:3""]",0,4,science,"[""perkRoboticsExpert:1""]",2,Wanderers DLC
