ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modSpikedBoard,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,6,repair,[],1,Corebook
modPuncturedBoard,mod,modSlotMelee,"[""damageAdd:2""]",0.5,9,repair,"[""perkBlacksmith:1""]",2,Corebook
modSharpBoard,mod,modSlotMelee,"[""damageAdd:2"",""effectAdd:effectPersistent""]",1,12,repair,"[""perkBlacksmith:1""]",2,Corebook
modSpikedCane,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,Corebook
modBarbedCane,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,Corebook
modVeryHeavyWrench,mod,modSlotMelee,"[""damageAdd:3""]",1,22,repair,"[""perkBlacksmith:2""]",3,Corebook
modHeavyWrench,mod,modSlotMelee,"[""damageAdd:2""]",0.5,12,repair,"[""perkBlacksmith:1""]",2,Corebook
modPuncturedWrench,mod,modSlotMelee,"[""damageAdd:2"",""effectAdd:effectPiercing:1""]",0.5,13,repair,"[""perkBlacksmith:1""]",2,Corebook
modHookedWrench,mod,modSlotMelee,"[""damageAdd:1""]",0,9,repair,[],1,Corebook
modSerratedSwitchblade,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,10,repair,"[""perkBlacksmith:1""]",3,Corebook
modSerratedCombatKnife,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,12,repair,"[""perkBlacksmith:1""]",3,Corebook
modStealthCombatKnife,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,18,repair,"[""perkBlacksmith:2""]",4,Corebook
modExtraClawDeathclaw,mod,modSlotMelee,"[""damageAdd:1""]",1,22,repair,[],1,Corebook
modSpikedBoxingGlove,mod,modSlotMelee,"[""effectAdd:effectPiercing:1""]",0,3,repair,[],1,Corebook
modPuncturedBoxingGlove,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,4,repair,"[""perkBlacksmith:1""]",2,Corebook
modLeadedBoxingGlove,mod,modSlotMelee,"[""damageAdd:2""]",0.5,7,repair,"[""perkBlacksmith:1""]",2,Corebook
modSharpTireIron,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,12,repair,"[""perkBlacksmith:2""]",3,Corebook
modSerratedMachete,mod,modSlotMelee,"[""damageAdd:2"",""effectAdd:effectPersistent""]",0,12,repair,"[""perkBlacksmith:1""]",3,Corebook
modElectrifiedBaton,mod,modSlotMelee,"[""damageAdd:2"",""damageTypeSet:energy""]",0,15,repair,"[""perkBlacksmith:2"",""perkScience:1""]",4,Corebook
modStunningBaton,mod,modSlotMelee,"[""damageAdd:3"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,30,repair,"[""perkBlacksmith:2"",""perkScience:1""]",4,Corebook
modHeavySledgehammer,mod,modSlotMelee,"[""damageAdd:2""]",4.5,30,repair,"[""perkBlacksmith:2""]",3,Corebook
modPuncturedSledgehammer,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",2.5,18,repair,"[""perkBlacksmith:2""]",3,Corebook
modSharpRollingPin,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,3,repair,[],1,Corebook
modSpikedRollingPin,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,Corebook
modSharpBaseballBat,mod,modSlotMelee,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,7,repair,[],2,Corebook
