ID,TYPE,CATEGORY,SLOT_TYPE,EFFECTS,WEIGHT,COST,RARITY,RARITY_TO_FIND,SKILL,PERKS,ROBOT_PART,SOURCE
modRobotPlatingStandard,mod,robotArmorMods,modSlotRobotPlating,"[""physicalResAdd:2""]",0,0,,,,[],all,Corebook
modRobotPlatingMisterGutsy,mod,robotArmorMods,modSlotRobotPlating,"[""physicalResAdd:2"",""energyResAdd:2"",""carryWeightAdd:-5""]",0,0,,,,[],all,Corebook
modRobotFactoryArmorOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1""]",0,10,2,Common,repair,[],optics,Corebook
modRobotFactoryArmorBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1""]",0,20,2,Common,repair,[],robotPartBody,Corebook
modRobotFactoryArmorArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1""]",0,10,2,Common,repair,[],robotPartArms,Corebook
modRobotFactoryArmorThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1""]",0,10,2,Common,repair,[],thrusters,Corebook
modRobotFactoryStorageBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1"",""carryWeightAdd:10""]",0,25,3,Uncommon,repair,"[""perkArmorer:1""]",robotPartBody,Corebook
modRobotBasePlatingOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5""]",0,10,2,Common,repair,[],optics,Corebook
modRobotBasePlatingBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-10""]",0,20,2,Common,repair,[],robotPartBody,Corebook
modRobotBasePlatingArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5""]",0,10,2,Common,repair,[],robotPartArms,Corebook
modRobotBasePlatingThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5""]",0,10,2,Common,repair,[],thrusters,Corebook
modRobotKnurledPlatingOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectKnurled""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",optics,Corebook
modRobotKnurledPlatingBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-10"",""effectAdd:effectKnurled""]",0,30,3,Uncommon,repair,"[""perkArmorer:1""]",robotPartBody,Corebook
modRobotKnurledPlatingArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectKnurled""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",robotPartArms,Corebook
modRobotKnurledPlatingThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectKnurled""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",thrusters,Corebook
modRobotPoisonousPlatingOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectPoisonous""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",optics,Corebook
modRobotPoisonousPlatingBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-10"",""effectAdd:effectPoisonous""]",0,30,3,Uncommon,repair,"[""perkArmorer:1""]",robotPartBody,Corebook
modRobotPoisonousPlatingArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectPoisonous""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",robotPartArms,Corebook
modRobotPoisonousPlatingThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectPoisonous""]",0,15,3,Uncommon,repair,"[""perkArmorer:1""]",thrusters,Corebook
modRobotToxicPlatingOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectToxic""]",0,15,5,Uncommon,repair,"[""perkArmorer:3""]",optics,Corebook
modRobotToxicPlatingBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-10"",""effectAdd:effectToxic""]",0,30,5,Uncommon,repair,"[""perkArmorer:3""]",robotPartBody,Corebook
modRobotToxicPlatingArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectToxic""]",0,15,5,Uncommon,repair,"[""perkArmorer:3""]",robotPartArms,Corebook
modRobotToxicPlatingThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""carryWeightAdd:-5"",""effectAdd:effectToxic""]",0,15,5,Uncommon,repair,"[""perkArmorer:3""]",thrusters,Corebook
modRobotActivationFrameOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1"",""carryWeightAdd:5""]",0,15,2,Common,repair,[],optics,Corebook
modRobotActivationFrameBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1"",""carryWeightAdd:10""]",0,30,2,Common,repair,[],robotPartBody,Corebook
modRobotActivationFrameArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1"",""carryWeightAdd:5"",""effectAdd:effectActivationArms""]",0,15,2,Common,repair,[],robotPartArms,Corebook
modRobotActivationFrameThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:1"",""energyResAdd:1"",""carryWeightAdd:5"",""effectAdd:effectActivationThrusters""]",0,15,2,Common,repair,[],thrusters,Corebook
modRobotVoltaicFrameOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""energyResAdd:2"",""carryWeightAdd:5"",""effectAdd:effectVoltaic""]",0,20,4,Rare,science,"[""perkArmorer:2""]",optics,Corebook
modRobotVoltaicFrameBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""energyResAdd:2"",""carryWeightAdd:10"",""effectAdd:effectVoltaic""]",0,40,4,Rare,science,"[""perkArmorer:2""]",robotPartBody,Corebook
modRobotVoltaicFrameArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""energyResAdd:2"",""carryWeightAdd:5"",""effectAdd:effectVoltaic""]",0,20,4,Rare,science,"[""perkArmorer:2""]",robotPartArms,Corebook
modRobotVoltaicFrameThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:2"",""energyResAdd:2"",""carryWeightAdd:5"",""effectAdd:effectVoltaic""]",0,20,4,Rare,science,"[""perkArmorer:2""]",thrusters,Corebook
modRobotHydraulicFrameOptics,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:3"",""energyResAdd:3"",""carryWeightAdd:2.5""]",0,30,5,Uncommon,repair,"[""perkArmorer:3""]",optics,Corebook
modRobotHydraulicFrameBody,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:3"",""energyResAdd:3"",""carryWeightAdd:5""]",0,60,5,Uncommon,repair,"[""perkArmorer:3""]",robotPartBody,Corebook
modRobotHydraulicFrameArms,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:3"",""energyResAdd:3"",""carryWeightAdd:2.5"",""effectAdd:effectHydraulic""]",0,30,5,Uncommon,repair,"[""perkArmorer:3""]",robotPartArms,Corebook
modRobotHydraulicFrameThrusters,mod,robotArmorMods,modSlotRobotArmor,"[""physicalResAdd:3"",""energyResAdd:3"",""carryWeightAdd:2.5""]",0,30,5,Uncommon,repair,"[""perkArmorer:3""]",thrusters,Corebook
modRobotRadioactiveCoils,mod,robotArmorMods,modSlotRobotModule,[],-5,50,5,Uncommon,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
modRobotTeslaCoils,mod,robotArmorMods,modSlotRobotModule,"[""damageTypeSet:energy"",""effectAdd:effectPiercing:1"",""effectAdd:effectStun""]",-12.5,100,5,Rare,science,"[""perkRoboticsExpert:2"",""perkScience:1""]",robotPartBody,Corebook
modRobotIntegratedBoiler,mod,robotArmorMods,modSlotRobotModule,[],-5,15,1,Common,science,[],robotPartBody,Corebook
modRobotResistanceField,mod,robotArmorMods,modSlotRobotModule,"[""physicalResAdd:2""]",-10,75,4,Uncommon,science,"[""perkRoboticsExpert:1"",""perkScience:1""]",robotPartBody,Corebook
modRobotRegenerationField,mod,robotArmorMods,modSlotRobotModule,[],-12.5,125,5,Rare,science,"[""perkRoboticsExpert:2"",""perkScience:2""]",robotPartBody,Corebook
modRobotStealthField,mod,robotArmorMods,modSlotRobotModule,"[""effectAdd:effectStealthReroll""]",-10,50,5,Rare,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
modRobotBehavioralAnalysisModule,mod,robotArmorMods,modSlotRobotModule,[],0,50,3,Common,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
modRobotDiagnosticModule,mod,robotArmorMods,modSlotRobotModule,[],0,50,3,Common,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
modRobotHazardDetectionModule,mod,robotArmorMods,modSlotRobotModule,[],0,25,2,Common,science,[],robotPartBody,Corebook
modRobotHackingModule,mod,robotArmorMods,modSlotRobotModule,[],0,25,2,Common,science,[],robotPartBody,Corebook
modRobotLockpickingModule,mod,robotArmorMods,modSlotRobotModule,[],-2.5,25,2,Common,science,[],robotPartBody,Corebook
modRobotSensors,mod,robotArmorMods,modSlotRobotModule,"[""effectAdd:effectSpecialReroll:PER""]",-7.5,50,4,Uncommon,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
modRobotReconnaissanceSensors,mod,robotArmorMods,modSlotRobotModule,[],-2.5,50,5,Uncommon,science,"[""perkRoboticsExpert:1""]",robotPartBody,Corebook
