ID,TYPE,SLOT_TYPE,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,SOURCE
modBayonet,mod,modSlotMuzzle,"[""qualityAdd:qualityMelee"",""effectAdd:effectPiercing:1""]",1,10,repair,[],2,Corebook
modCompensator,mod,modSlotMuzzle,"[""qualityRemove:qualityInaccurate""]",0.5,15,repair,"[""perkGunNut:1""]",3,Corebook
modFlashHider,mod,modSlotMuzzle,"[""qualityRemove:qualityInaccurate"",""fireRateAdd:1""]",0.5,30,repair,"[""perkGunNut:1""]",3,Corebook
modSuppressor,mod,modSlotMuzzle,"[""qualityAdd:qualitySuppressed""]",1,45,repair,"[""perkGunNut:2""]",4,Corebook
modFullStock,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate""]",0.5,10,repair,[],2,Corebook
modMarksmanStock,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityAdd:qualityAccurate""]",1,20,repair,"[""perkGunNut:2""]",4,Corebook
modRecoilCompensatingStock,mod,modSlotStock,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""fireRateAdd:1""]",1,3,repair,"[""perkGunNut:3""]",5,Corebook
modFinnedBarrel,mod,modSlotBarrel,"[""damageAdd:1"",""rangeAdd:1""]",1,15,repair,"[""perkGunNut:2""]",4,Corebook
modPortedBarrel,mod,modSlotBarrel,"[""rangeAdd:1"",""fireRateAdd:1""]",0.5,35,repair,"[""perkGunNut:4""]",6,Corebook
modLongBarrel,mod,modSlotBarrel,"[""rangeAdd:1""]",0.5,20,repair,"[""perkGunNut:1""]",3,Corebook
modSawedOffBarrel,mod,modSlotBarrel,"[""qualityRemove:qualityTwoHanded"",""qualityAdd:qualityCloseQuarters""]",-1,3,repair,[],2,Corebook
modShortBarrel,mod,modSlotBarrel,"[""qualityAdd:qualityInaccurate""]",-0.5,0,repair,[],2,Corebook
modShieldedBarrel,mod,modSlotBarrel,"[""damageAdd:1""]",0,37,repair,"[""perkGunNut:3""]",3,Corebook
modStableBarrel,mod,modSlotBarrel,"[""qualityAdd:qualityReliable""]",0,10,repair,"[""perkGunNut:3""]",5,Corebook
modVentedBarrel,mod,modSlotBarrel,"[""rangeAdd:1"",""fireRateAdd:1"",""qualityAdd:qualityReliable""]",0.5,36,repair,"[""perkGunNut:4""]",6,Corebook
modLargeMagazine,mod,modSlotMagazine,"[""fireRateAdd:1"",""qualityAdd:qualityUnreliable""]",0.5,8,repair,"[""perkGunNut:2""]",4,Corebook
modLargeQuickMagazine,mod,modSlotMagazine,"[""fireRateAdd:1""]",0.5,23,repair,"[""perkGunNut:2""]",5,Corebook
modQuickMagazine,mod,modSlotMagazine,"[""qualityAdd:qualityReliable""]",0,8,repair,"[""perkGunNut:1""]",5,Corebook
modAutomatic,mod,modSlotReceiver,"[""damageAdd:-1"",""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",0.5,30,repair,"[""perkGunNut:1""]",3,Corebook
modAdvanced,mod,modSlotReceiver,"[""damageAdd:3"",""fireRateAdd:1""]",1,35,repair,"[""perkGunNut:2""]",5,Corebook
modCalibrated,mod,modSlotReceiver,"[""effectAdd:effectVicious""]",0,25,repair,[],2,Corebook
modReceiver308,mod,modSlotReceiver,"[""damageSet:7"",""ammoSet:ammo308""]",2,40,repair,"[""perkGunNut:4""]",6,Corebook
modReceiver38,mod,modSlotReceiver,"[""damageSet:4"",""ammoSet:ammo38""]",1.5,20,repair,"[""perkGunNut:4""]",6,Corebook
modReceiver45,mod,modSlotReceiver,"[""damageSet:4"",""fireRateAdd:1"",""ammoSet:ammo45""]",1,19,repair,"[""perkGunNut:2""]",4,Corebook
modReceiver50,mod,modSlotReceiver,"[""damageSet:8"",""effectAdd:effectVicious"",""ammoSet:ammo50""]",2,30,repair,"[""perkGunNut:4""]",6,Corebook
modAutomaticPistonReceiver,mod,modSlotReceiver,"[""fireRateAdd:2"",""rangeAdd:-1""]",1,75,repair,"[""perkGunNut:2""]",4,Corebook
modHairTrigger,mod,modSlotReceiver,"[""fireRateAdd:1""]",0,20,repair,"[""perkGunNut:2""]",4,Corebook
modPowerful,mod,modSlotReceiver,"[""damageAdd:2""]",0.5,25,repair,"[""perkGunNut:1""]",3,Corebook
modWeaponHardened,mod,modSlotReceiver,"[""damageAdd:1""]",0,20,repair,[],2,Corebook
modFullCapacitor,mod,modSlotCapacitor,"[""effectAdd:effectVicious""]",0,37,repair,"[""perkGunNut:3"",""perkScience:2""]",3,
modBoostedCoilCapacitor,mod,modSlotCapacitor,"[""damageAdd:1"",""effectAdd:effectVicious""]",1,82,repair,"[""perkGunNut:4"",""perkScience:3""]",4,
modErgonomicGrip,mod,modSlotGrip,"[""qualityRemove:qualityInaccurate""]",0,6,repair,[],2,Corebook
modMarksmanGrip,mod,modSlotGrip,"[""qualityRemove:qualityInaccurate"",""effectAdd:effectPiercing:1""]",0,10,repair,"[""perkGunNut:1""]",3,Corebook
modShortScope,mod,modSlotSight,"[""qualityAdd:qualityAccurate""]",0.5,11,repair,[],2,Corebook
modShortNightVisionScope,mod,modSlotSight,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision""]",0.5,38,repair,"[""perkScience:2""]",4,Corebook
modReconScope,mod,modSlotSight,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityRecon""]",0.5,59,repair,"[""perkScience:3""]",5,Corebook
modLongScope,mod,modSlotSight,"[""rangeAdd:1"",""qualityAdd:qualityAccurate""]",0.5,29,repair,"[""perkScience:2""]",4,Corebook
modLongNightVisionScope,mod,modSlotSight,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision"",""rangeAdd:1""]",0.5,50,repair,"[""perkScience:3""]",5,Corebook
modReflexSight,mod,modSlotSight,"[""rerollHitLocation:true""]",0,14,repair,[],2,Corebook
modArmorPiercing,mod,modSlotReceiver,"[""effectAdd:effectPiercing:1""]",0,3,repair,"[""perkGunNut:1""]",3,Wanderers DLC
modArmorPiercingAutomatic,mod,modSlotReceiver,"[""damageAdd:-1"",""fireRateAdd:2"",""effectAdd:effectPiercing:1"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",0.5,40,repair,"[""perkGunNut:3""]",4,Wanderers DLC
modHardenedAutomatic,mod,modSlotReceiver,"[""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",1,58,repair,"[""perkGunNut:3""]",4,Wanderers DLC
modRapidAutomatic,mod,modSlotReceiver,"[""damageAdd:-1"",""fireRateAdd:3"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",1,63,repair,"[""perkGunNut:4""]",4,Wanderers DLC
modCalibratedPowerful,mod,modSlotReceiver,"[""damageAdd:2"",""effectAdd:effectVicious""]",1.5,68,repair,"[""perkGunNut:4""]",4,Wanderers DLC
modPowerfulAutomatic,mod,modSlotReceiver,"[""damageAdd:1"",""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",2,88,repair,"[""perkGunNut:4""]",4,Wanderers DLC
