ID,TYPE,CATEGORY,WEIGHT,COST,RARITY
miscLocksmithTools,other,misc,1,150,2
miscDoctorBag,other,misc,5,300,3
miscPackBrahmin,other,misc,0,200,3
miscDeluxeToolbox,other,misc,10,150,3
miscGeigerCounter,other,misc,4,325,3
miscBobbyPin,other,misc,0,1,0
miscElectronicLockpick,other,misc,2,375,4
miscFirstAidKit,other,misc,2,200,2
miscLantern,other,misc,1.5,15,2
miscHolotapePlayer,other,misc,1.5,250,2
miscMultitool,other,misc,0.5,100,2
miscHolotag,other,misc,0,5,2
miscFlashlight,other,misc,1,100,3
miscPipBoy,other,misc,0,0,0
miscRadio,other,misc,1,75,2
miscFlare,other,misc,0,10,1
miscTorch,other,misc,0.5,10,1
miscBackpackLarge,other,misc,0,60,2
miscBackpackSmall,other,misc,0,30,1
miscCommonJunk,other,junk,0.5,1,0
miscUncommonJunk,other,junk,0.5,3,1
miscRareJunk,other,junk,0.5,5,2
