ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPES,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS,SOURCE
weaponLaserPistol,weapon,energyWeapons,4,"[""effectPiercing:1""]","[""energy""]",2,rangeC,"[""qualityCloseQuarters""]",2,69,2,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modMarksmanStockEnergy"", ""modRecoilCompensatingStockEnergy"", ""modStandardStock"", ""modLongBarrelEnergy"", ""modAutomaticBarrel"", ""modSniperBarrel"", ""modImprovedBarrel"", ""modPhotonicStimulator"", ""modBetaWaveTuner"", ""modBoostedCapacitor"", ""modPhotonicAgitator"", ""modMarksmanGrip"", ""modReflexSight"", ""modShortScope"", ""modLongScope"", ""modShortNightVisionScope"", ""modLongNightVisionScope"", ""modReconScope"", ""modBoostedPhotonAgitator"", ""modBoostedGammaWaveEmitter"", ""modGammaWaveEmitter"", ""modOverchargedCapacitor"", ""modMaximizedCapacitor"", ""modImprovedLongBarrel"", ""modAmplifiedBeamSplitter"", ""modImprovedAutomaticBarrel"", ""modFineTunedBeamFocuser"", ""modImprovedSniperBarrel"", ""modQuantumGyroCompensatingLens""]",
weaponInstituteLaser,weapon,energyWeapons,3,"[""effectBurst""]","[""energy""]",3,rangeC,"[""qualityCloseQuarters"", ""qualityInaccurate""]",2,50,2,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modStandardStock"", ""modAutomaticBarrel"", ""modLongBarrelEnergy"", ""modImprovedBarrel"", ""modPhotonicAgitator"", ""modBoostedCapacitor"", ""modBetaWaveTuner"", ""modPhotonicStimulator"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modBoostedPhotonAgitator"", ""modBoostedGammaWaveEmitter"", ""modGammaWaveEmitter"", ""modOverchargedCapacitor"", ""modMaximizedCapacitor"", ""modImprovedLongBarrel"", ""modAmplifiedBeamSplitter"", ""modImprovedAutomaticBarrel"", ""modFineTunedBeamFocuser"", ""modQuantumGyroCompensatingLens""]",
weaponLaserMusket,weapon,energyWeapons,5,"[""effectPiercing:1""]","[""energy""]",0,rangeM,"[""qualityTwoHanded""]",6.5,57,1,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modFullStockEnergy"", ""modShortReinforcedBarrel"", ""modLongBarrelEnergy"", ""modLongReinforcedBarrel"", ""modThreeChargeCapacitor"", ""modFourChargeCapacitor"", ""modFiveChargeCapacitor"", ""modSixChargeCapacitor"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]",
weaponPlasmaPistol,weapon,energyWeapons,6,[],"[""physical"",""energy""]",1,rangeC,"[""qualityCloseQuarters""]",2,123,3,ammoPlasmaCartridge,"[""modMarksmanStockEnergy"", ""modRecoilCompensatingStockEnergy"", ""modStandardStock"", ""modAutomaticBarrel"", ""modSniperBarrel"", ""modFlamerBarrel"", ""modImprovedBarrel"", ""modSplitter"", ""modPhotonicAgitator"", ""modBoostedCapacitor"", ""modBetaWaveTuner"", ""modPhotonicStimulator"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modBoostedPhotonAgitator"", ""modBoostedGammaWaveEmitter"", ""modGammaWaveEmitter"", ""modOverchargedCapacitor"", ""modMaximizedCapacitor"", ""modImprovedLongBarrel"", ""modImprovedAutomaticBarrel"", ""modImprovedSniperBarrel"", ""modImprovedSplitter""]",
weaponGammaPistol,weapon,energyWeapons,3,"[""effectPiercing:1"",""effectStun""]","[""radiation""]",1,rangeM,"[""qualityBlast"", ""qualityInaccurate""]",1.5,156,5,ammoGammaRound,"[""modElectricSignalAntenna"", ""modAutomaticSignalRepeater"", ""modDeepDish""]",
weaponMrHandyLaserEmitter,weapon,energyWeapons,4,"[""effectPiercing:1""]","[""energy""]",2,rangeC,"[""qualityCloseQuarters"", ""qualityMrHandyOnly""]",0,69,2,ammoFusionCell,[],
weaponAlienAtomizer,weapon,energyWeapons,6,"[""effectVicious""]","[""energy""]",3,rangeC,"[""qualityCloseQuarters"",""qualityReliable""]",1.5,1536,5,ammoAlienPowerCell,[],Wanderers DLC
weaponAlienDisintegrator,weapon,energyWeapons,8,"[""effectVicious""]","[""energy""]",2,rangeM,"[""qualityTwoHanded"",""qualityReliable""]",3.5,921,5,ammoAlienPowerCell,[],Wanderers DLC
weaponArcWelder,weapon,energyWeapons,3,"[""effectStun""]","[""energy""]",4,rangeC,"[""qualitySurge"",""qualityTwoHanded""]",7.5,370,4,ammoFusionCell,[],Wanderers DLC
weaponAcidSoaker,weapon,energyWeapons,3,"[""effectBreaking"",""effectPersistent""]","[""poison""]",2,rangeC,"[""qualityDebilitating"",""qualityInaccurate""]",1.5,125,3,ammoAcidConcentrate,"[""modCausticAcidSoaker"",""modLargeAmpoule"",""modLargeVial""]",Settlers DLC
weaponAlienBlaster,weapon,energyWeapons,5,"[""effectVicious""]","[""energy"",""radiation""]",2,rangeC,"[""qualityCloseQuarters"",""qualityInaccurate""]",1,90,5,ammoAlienBlasterRound,"[""modMagFusionAlienBlaster""]",Settlers DLC
weaponAssaultronHead,weapon,energyWeapons,4,"[""effectPiercing:1""]","[""energy""]",1,rangeC,[],4,500,3,ammoFusionCell,"[""modCapacitorMk3"",""modCapacitorMk4"",""modCapacitorMk5"",""modCapacitorMk6""]",Wanderers DLC
weaponCryojet,weapon,energyWeapons,3,"[""effectBurst"",""effectFreeze""]","[""energy""]",3,rangeC,"[""qualityInaccurate""]",4,261,4,ammoCryoCell,[],Settlers DLC
weaponMesmetron,weapon,energyWeapons,3,"[""effectStun""]","[""energy""]",1,rangeM,[],1,120,4,ammoGammaRound,[],Settlers DLC
weaponMicrowaveEmitter,weapon,energyWeapons,6,"[""effectPersistent"",""effectPiercing:3""]","[""energy""]",1,rangeM,"[""qualityTwoHanded""]",4.0,500,5,ammoFusionCell,[],Wanderers DLC
weaponTeslaRifle,weapon,energyWeapons,5,"[""effectArc""]","[""energy""]",2,rangeM,"[""qualityTwoHanded""]",4.0,180,4,ammoFusionCell,"[""modAutomaticBarrel"",""modSplitter"",""modImprovedBarrel"",""modAmplifiedBeamSplitter"",""modFineTunedBeamFocuser"",""modQuantumGyroCompensatingLens"",""modReflexSight""]",Wanderers DLC
