ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPES,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS,SOURCE
weaponMolotovCocktail,weapon,explosives,4,"[""effectPersistent""]","[""energy""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0.5,20,1,self,[],Corebook
weaponFragmentationGrenade,weapon,explosives,6,[],"[""physical""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0,50,2,self,[],Corebook
weaponPulseGrenade,weapon,explosives,6,"[""effectStun""]","[""energy""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0,100,3,self,[],Corebook
weaponNukaGrenade,weapon,explosives,9,"[""effectVicious"",""effectBreaking"",""effectRadioactive""]","[""energy""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0.5,100,4,self,[],Corebook
weaponPlasmaGrenade,weapon,explosives,9,[],"[""energy""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0,135,3,self,[],Corebook
weaponAtomicMine,weapon,explosives,9,"[""effectVicious"",""effectBreaking"",""effectRadioactive""]","[""energy""]",-,-,"[""qualityBlast"", ""qualityMine""]",0.5,100,4,self,[],Corebook
weaponFragmentationMine,weapon,explosives,6,[],"[""physical""]",-,-,"[""qualityBlast"", ""qualityMine""]",0.5,50,2,self,[],Corebook
weaponPulseMine,weapon,explosives,6,"[""effectStun""]","[""energy""]",-,-,"[""qualityBlast"", ""qualityMine""]",0,100,3,self,[],Corebook
weaponPlasmaMine,weapon,explosives,9,[],"[""energy""]",-,-,"[""qualityBlast"", ""qualityMine""]",0,135,3,self,[],Corebook
weaponBottlecapMine,weapon,explosives,6,[],"[""physical""]",-,-,"[""qualityBlast"", ""qualityMine""]",0.5,75,2,self,[],Corebook
weaponExplosiveBaseball,weapon,explosives,5,[],"[""physical""]",-,rangeM,"[""qualityThrown"", ""qualityBlast""]",0.5,40,1,self,[],Corebook
weaponCryogenicGrenade,weapon,explosives,6,"[""effectFreeze""]","[""energy""]",0,rangeM,"[""qualityBlast"",""qualityThrown""]",0.5,50,3,self,"[]",Wanderers DLC
weaponCryoMine,weapon,explosives,6,"[""effectFreeze""]","[""energy""]",0,-,"[""qualityBlast"",""qualityMine""]",0.5,50,3,self,"[]",Wanderers DLC
weaponDetonator,weapon,explosives,0,"[]",[],0,rangeL,"[]",0.5,75,3,self,"[]",Wanderers DLC
weaponDynamite,weapon,explosives,5,"[]","[""physical""]",0,rangeM,"[""qualityBlast"",""qualityThrown""]",0,25,2,self,"[]",Wanderers DLC
weaponDynamiteBundle,weapon,explosives,9,"[""effectBreaking""]","[""physical""]",0,-,"[""qualityBlast"",""qualityDelay:X"",""qualityPlaced""]",1.0,150,3,self,"[]",Wanderers DLC
weaponFlashBang,weapon,explosives,0,"[""effectStun""]",[],0,rangeM,"[""qualityBlast"",""qualityThrown""]",0.5,40,2,self,"[]",Wanderers DLC
weaponFragGrenadeMirv,weapon,explosives,5,"[""effectSpread""]","[""physical""]",0,rangeM,"[""qualityBlast"",""qualityThrown""]",0.5,75,4,self,"[]",Wanderers DLC
weaponPlasticExplosives,weapon,explosives,10,"[""effectBreaking"",""effectPiercing:1""]","[""physical""]",0,-,"[""qualityBlast"",""qualityDelay:X"",""qualityPlaced""]",1.0,200,4,self,"[]",Wanderers DLC
weaponPowderCharge,weapon,explosives,4,"[]","[""physical""]",0,-,"[""qualityBlast"",""qualityMine""]",0.5,25,1,self,"[]",Wanderers DLC
weaponSmokeGrenade,weapon,explosives,0,"[]",[],0,rangeM,"[""qualityBlast"",""qualityThrown""]",0.5,40,2,self,"[]",Wanderers DLC
