ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPES,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS,IS_BLADED,SOURCE
weaponBoard,weapon,meleeWeapons,4,[],"[""physical""]",-,rangeR,"[""qualityTwoHanded""]",1.5,20,0,na,"[""modSpikedBoard"", ""modPuncturedBoard"", ""modSharpBoard""]",false,Corebook
weaponWalkingStick,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],1,10,0,na,"[""modSpikedCane"", ""modBarbedCane""]",false,Corebook
weaponWeaponStockOneHanded,weapon,meleeWeapons,2,"[""effectStun""]","[""physical""]",-,rangeR,[],-,-,-,na,[],false,Corebook
weaponWeaponStock,weapon,meleeWeapons,3,"[""effectStun""]","[""physical""]",-,rangeR,"[""qualityTwoHanded""]",-,-,-,na,[],false,Corebook
weaponPipeWrench,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],1,30,1,na,"[""modVeryHeavyWrench"", ""modHeavyWrench"", ""modPuncturedWrench"", ""modHookedWrench""]",false,Corebook
weaponUnarmedStrike,weapon,unarmed,2,[],"[""physical""]",-,rangeR,[],-,-,-,na,[],false,Corebook
weaponSwitchblade,weapon,meleeWeapons,2,"[""effectPiercing:1""]","[""physical""]",-,rangeR,"[""qualityConcealed""]",0.5,20,0,na,"[""modSerratedSwitchblade""]",true,Corebook
weaponCombatKnife,weapon,meleeWeapons,3,"[""effectPiercing:1""]","[""physical""]",-,rangeR,[],0.5,25,1,na,"[""modSerratedCombatKnife"", ""modStealthCombatKnife""]",true,Corebook
weaponDeathclawGauntlet,weapon,unarmed,5,"[""effectPiercing:1""]","[""physical""]",-,rangeR,[],5,75,3,na,"[""modExtraClawDeathclaw""]",true,Corebook
weaponBoxingGlove,weapon,unarmed,3,"[""effectStun""]","[""physical""]",-,rangeR,[],0.5,10,1,na,"[""modSpikedBoxingGlove"", ""modPuncturedBoxingGlove"", ""modLeadedBoxingGlove""]",false,Corebook
weaponTireIron,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],1,25,1,na,"[""modSharpTireIron""]",false,Corebook
weaponMachete,weapon,meleeWeapons,3,"[""effectPiercing:1""]","[""physical""]",-,rangeR,[],1,25,1,na,"[""modSerratedMachete""]",true,Corebook
weaponBaton,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],1,15,1,na,"[""modElectrifiedBaton"", ""modStunningBaton""]",false,Corebook
weaponSledgehammer,weapon,meleeWeapons,5,[],"[""physical""]",-,rangeR,"[""qualityTwoHanded""]",6,40,2,na,"[""modHeavySledgehammer"", ""modPuncturedSledgehammer""]",false,Corebook
weaponRollingPin,weapon,meleeWeapons,3,[],"[""physical""]",-,rangeR,[],0.5,10,0,na,"[""modSharpRollingPin"", ""modSpikedRollingPin""]",false,Corebook
weaponBaseballBat,weapon,meleeWeapons,4,[],"[""physical""]",-,rangeR,"[""qualityTwoHanded""]",1.5,25,1,na,"[""modSharpBaseballBat"", ""modChainBaseballBat"", ""modSpikedBaseballBat"", ""modBarbedBaseballBat"", ""modBladeBaseballBat""]",false,Corebook
weaponAluminumBaseballBat,weapon,meleeWeapons,5,[],"[""physical""]",-,rangeR,"[""qualityTwoHanded""]",1,32,2,na,"[""modSharpBaseballBat"", ""modChainBaseballBat"", ""modSpikedBaseballBat"", ""modBarbedBaseballBat"", ""modBladeBaseballBat""]",false,Corebook
weaponStone,weapon,unarmed,2,"[""effectVicious""]","[""physical""]",-,rangeR,"[""qualityThrown""]",0.5,-,-,na,[],false,Corebook
weaponPowerFist,weapon,unarmed,4,"[""effectStun""]","[""physical""]",-,rangeR,[],2,100,2,na,"[""modPuncturedPowerFist"", ""modHeatingPowerFist""]",false,Corebook
weaponRipper,weapon,meleeWeapons,4,"[""effectVicious""]","[""physical""]",-,rangeR,[],3,50,2,na,"[""modCurvedRipper"", ""modExtendedRipper""]",true,Corebook
weaponShishkebab,weapon,meleeWeapons,5,"[""effectPiercing:1""]","[""energy""]",-,rangeR,"[""qualityParry""]",1.5,200,3,ammoFlamerFuel,"[""modExtraFlamesShishkebab""]",true,Corebook
weaponSword,weapon,meleeWeapons,4,"[""effectPiercing:1""]","[""physical""]",-,rangeR,"[""qualityParry""]",1.5,50,2,na,"[""modStunningSword"", ""modElectrifiedSword"", ""modSerratedSword"", ""modElectrifiedSerratedSword""]",true,Corebook
