ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPES,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS
weaponHandmadeBoltAction,weapon,smallGuns,5,"[""effectPiercing:1""]","[""physical""]",0,rangeC,"[""qualityInaccurate""]",1.5,30,0,ammo308,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modCalibrated"", ""modReceiver38"", ""modReceiver50"", ""modPowerful"", ""modWeaponHardened"", ""modMarksmanGrip"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modCalibratedPowerful""]"
weaponDoubleBarrelShotgun,weapon,smallGuns,5,"[""effectSpread"",""effectVicious""]","[""physical""]",0,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",4.5,39,1,ammoShotgunShell,"[""modFlashHider"", ""modFullStock"", ""modLongBarrel"", ""modSawedOffBarrel"", ""modAdvanced"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modReflexSight""]"
weaponCombatShotgun,weapon,smallGuns,5,"[""effectSpread""]","[""physical""]",2,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",5.5,87,2,ammoShotgunShell,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modHardenedAutomatic"", ""modRapidAutomatic"", ""modCalibratedPowerful"", ""modPowerfulAutomatic""]"
weaponAssaultRifle,weapon,smallGuns,5,"[""effectBurst""]","[""physical""]",2,rangeM,"[""qualityTwoHanded""]",6.5,144,2,ammo556mm,"[""modCompensator"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modArmorPiercing"", ""modArmorPiercingAutomatic"", ""modHardenedAutomatic"", ""modRapidAutomatic"", ""modCalibratedPowerful"", ""modPowerfulAutomatic"", ""modHardenedPiercingAuto""]"
weaponHuntingRifle,weapon,smallGuns,6,"[""effectPiercing:1""]","[""physical""]",0,rangeM,"[""qualityTwoHanded""]",5,55,2,ammo308,"[""modBayonet"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modCalibrated"", ""modReceiver38"", ""modReceiver50"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modArmorPiercing"", ""modCalibratedPowerful""]"
weaponCombatRifle,weapon,smallGuns,5,[],"[""physical""]",2,rangeM,"[""qualityTwoHanded""]",5.5,117,2,ammo45,"[""modBayonet"", ""modCompensator"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modReceiver38"", ""modReceiver308"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight"", ""modArmorPiercing"", ""modArmorPiercingAutomatic"", ""modHardenedAutomatic"", ""modRapidAutomatic"", ""modCalibratedPowerful"", ""modPowerfulAutomatic"", ""modHardenedPiercingAuto""]"
weaponGaussRifle,weapon,smallGuns,10,"[""effectPiercing:1""]","[""physical""]",1,rangeL,"[""qualityTwoHanded""]",8,228,4,ammo2mmec,"[""modSuppressor"", ""modRecoilCompensatingStock"", ""modShieldedBarrel"", ""modFullCapacitor"", ""modBoostedCoilCapacitor"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponRailwayRifle,weapon,smallGuns,10,"[""effectBreaking""]","[""physical""]",0,rangeM,"[""qualityTwoHanded"", ""qualityUnreliable"", ""qualityCrippling""]",7,290,4,ammoRailwaySpike,"[""modBayonet"", ""modRecoilCompensatingStock"", ""modLongBarrel"", ""modAutomaticPistonReceiver"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponMachineGun,weapon,smallGuns,3,"[""effectBurst""]","[""physical""]",3,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",6,109,1,ammo45,"[""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modRecoilCompensatingStock"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modReflexSight"", ""modArmorPiercing"", ""modReceiver9mm""]"
weaponFortyFourPistol,weapon,smallGuns,6,"[""effectVicious""]","[""physical""]",1,rangeC,"[""qualityCloseQuarters""]",2,99,2,ammo44Magnum,"[""modShortBarrel"", ""modStableBarrel"", ""modAdvanced"", ""modPowerful"", ""modWeaponHardened"", ""modErgonomicGrip"", ""modShortScope"", ""modReconScope"", ""modReflexSight""]"
