OBJECT_ID,HP_GAIN,EFFECTS,RADIOACTIVE,WEIGHT,COST,RARITY,DESCRIPTION
"Arrosto di Mirelurk",8,"+1 PA all'inizio della scena successiva",0,0,40,2,
"Arrosto di Yao Guai",14,"+2 agli attacchi da mischia fino alla fine della scena successiva",0,0.5,110,4,
"Bacca",3,,1,0,5,3,
"Bistecca di Deathclaw",14,"Permette di ritirare 1d20 su tutte le prove di FOR fino alla fine della scena successiva",0,0.5,130,4,
"Bistecca di Regina dei Mirelurk",14,"Riduce di 1 la difficoltà di tutte le prove di COS fino alla fine della scena successiva",0,0.5,130,5,
"Bistecca di Scorpione Radioattivo",12,"+2 alla Resistenza ai Danni da Energia fino alla fine della scena successiva",0,0.5,65,3,
"Bistecca di Succhiasangue",10,"+3 al massimale dei PS fino al termine della scena successiva",0,0,18,2,
"Bistecca Ribeye",10,,0,0.5,40,2,
"Bistecca Salisbury",5,,1,0,20,0,
"Bocconcini di Iguana",4,,1,0,8,1,
"Bocconcini di Scoiattolo",4,,1,0,4,1,
"Bocconcini di Scoiattolo Croccanti",6,,0,0,6,2,
"Caramelle Gommose",3,,1,0,5,0,
"Carne di Mirelurk a Guscio Morbido Cotta",9,"+1 PA all'inizio della scena successiva",0,0,40,3,
"Carne Cram",5,,1,0,25,1,
"Carne di Bastardino",4,,1,0,8,0,
"Carne di Bramino",3,,1,0.5,28,1,
"Carne di Cervo Radioattivo",8,,1,0.5,50,1,
"Carne di Deathclaw",9,,1,0.5,110,3,
"Carne di Mirelurk",6,,1,0,18,1,
"Carne di Mirelurk a Guscio Morbido",6,,1,0,22,2,
"Carne di Mosca Mutante",2,,1,0,8,0,
"Carne di Ratto Talpa",5,,1,0,5,0,
"Carne di Regina dei Mirelurk",10,"Permette di ritirare 1d20 su tutte le prove di COS fino alla fine della scena successiva",1,0,22,4,
"Carne di Scarafaggio Radioattivo",4,,1,0,3,0,
"Carne di Scorpione Radioattivo",9,,1,0.5,55,2,
"Carne di Segugio Mutante",5,,1,0,8,2,
"Carne di Stingwing",8,,1,0,30,1,
"Carne di Succhiasangue",7,,1,0,8,1,
"Carne di Yao Guai",9,"Quando viene mangiata , occorre tirare 2 invece di 1 per determinare il danno Radioattivo",1,0.5,85,3,
"Carne in Scatola",6,,1,0.5,25,0,
"Carota",3,,1,0,3,1,
"Cervo Radioattivo Grigliato",11,"Il peso trasportabile aumenta di +25 fino alla fine della scena successiva",0,0.5,60,2,
"Cibo per Cani in Scatola",3,,1,0,6,0,
"Cocomero",3,,1,0.5,6,1,
"Costolette di Bastardino",6,,0,0,12,1,
"Costolette di Segugio Mutante",8,"Guarisce 2 danni Radioattivi",0,0,12,3,
"Costolette di Yao Guai",13,"+2 alla Resistenza ai Danni Fisici fino alla fine della scena successiva",0,0.5,90,4,
"Crostata Perfettamente Conservata",5,,0,0,20,3,
"Dolcetto",4,,1,0,9,1,
"Fagiolo della Sabbia",3,,1,0,6,1,
"Filetto di Stingwing",11,"Permette di ritirare 1d20 su tutte le prove di PER fino alla fine della scena successiva",0,0,35,2,
"Fungo Mentale",3,,1,0,6,1,
"Granolama",3,,1,0,6,1,
