ID,EFFECT,DURATION,ADDICTIVE,WEIGHT,COST,RARITY,DESCRIPTION
medsAddictol,"Elimina tutte le dipendenze","Istantaneo","0",0,125,3,"È un potente ed efficace farmaco dell’anteguerra che libera il corpo da tutti gli effetti delle dipendenze e dai corrispettivi sintomi di astinenza, sebbene non possa evitare nuove assuefazioni, specialmente nel caso di un abuso di droghe a lungo termine o abituale. Può metterci del tempo ad agire, soprattutto nei casi gravi, e mentre agisce tende ad avere alcuni effetti collaterali come nausea e intorpidimento."
medsAntibiotics,"Curano tutte le malattie","Istantaneo","0",0,75,3,"Una dose di un potente antibiotico ad ampio spettro in grado di eliminare praticamente qualsiasi infezione o malattia. Prenderne troppi può essere dannoso per la salute, ma sono così rari che è difficile che se ne assumano troppi."
medsHealingSalve,"Ripristina 2 PS (vedi descrizione)","Istantaneo","0",0,20,1,"Si tratta di una pomata o un unguento che si può applicare per alleviare il dolore e velocizzare la guarigione da ferite, solitamente ottenuto con diversi ingredienti erboristici. ƒ Utilizzo: Ci sono uno o due modi per servirsi del balsamo curativo: lo si può applicare con l’azione minore Assumere Sostanze e ripristinare immediatamente 2 PS oppure può essere messo spalmato come parte di un’azione di Primo Soccorso e aggiungere +2 PS al totale di quelli guariti."
medsBuffjet,"Riduce la difficoltà di tutte le prove di FOR e COS di 1 (fino a un minimo di 0) . Concede immediatamente 3 PA (che vanno persi se non vengono spesi) , ogni azione extra costa 1 PA in meno , +4 al massimale dei PS","Breve","1",0,75,4,"Una potente miscela di Buffout e Jet, altamente assuefacente, che dà uno slancio alla prestanza fisica, aumenta i riflessi e dà una scarica di adrenalina. ƒ Dipendenza da Buffout: Il fallimento di un tiro per la dipendenza rende assuefatti da Buffout. Quando non si è sotto l’effetto di un qualche tipo di Buffout (Buffout, Buffjet o Bufftat), la difficoltà di tutte le prove di FOR e COS aumenta di +1."
medsBuffout,"Permette di ripetere il tiro di 1d20 su tutte le prove di FOR e COS , +3 al massimale dei PS","Durevole",2,0,45,2,"Sono dei forti steroidi ad azione rapida che erano diventati famosi tra gli atleti prima della Grande Guerra. Rende più forti e resistenti per alcuni minuti. ƒ Dipendenza da Buffout: Il fallimento di un tiro per la dipendenza rende assuefatti da Buffout. Quando non si è sotto l’effetto di un qualche tipo di Buffout (Buffout, Buffjet o Bufftats), la difficoltà di tutte le prove di FOR e COS aumenta di +1."
medsBufftat,"Riduce la difficoltà di tutte le prove di FOR , PER e COS di 1 (fino a un minimo di 0) , +4 al massimale dei PS","Durevole","1",0,75,4,"È un cocktail assuefacente di steroidi Buffout e Mentat, in grado di aumentare sia la prestanza fisica che l’attenzione. ƒ Dipendenza da Buffout: Il fallimento di un tiro per la dipendenza rende assuefatti da Buffout. Quando non si è sotto l’effetto di un qualche tipo di Buffout (Buffout, Buffjet o Bufftats), la difficoltà di tutte le prove di FOR e COS aumenta di +1."
medsCalmex,"Permette di ripetere il tiro di 1d20 su tutte le prove di PER e AGI , +2 ai danni su attacchi furtivi","Durevole","1",0,100,4,"Un leggero tranquillante utilizzato per calmare i nervi. Non è abbastanza forte da poter essere usato come antidolorifico, ma una dose può calmare ansie e paure, evitando che il panico interferisca in operazioni delicate. ƒ Dipendenza da Calmex: Il fallimento di un tiro per la dipendenza rende assuefatti da Calmex. Quando non si è sotto i suoi effetti, si subiscono complicazioni sulle prove di AGI con un risultato di 18 o più."
medsDaddyO,"Riduce la difficoltà di tutte le prove di PER e INT di 1 (fino a un minimo di 0) , +1 alla difficoltà delle prove di CAR","Durevole","1",0,50,2,"Diffuso fra i capelloni e gli intellettuali prima della Grande Guerra, il Daddy-O amplifica le capacità intellettuali di coloro che lo usano, rendendoli più vigili e rapidi nell’elaborare informazioni, ma questi tendono a concentrarsi troppo sui compiti che hanno di fronte, per cui interagire con loro diventa complicato. ƒ Dipendenza da Daddy-O: Il fallimento di un tiro per la dipendenza rende assuefatti da Daddy-O. Quando non si è sotto il suo effetto, la difficoltà di tutte le prove di PER e INT aumenta di +1."
medsDaytripper,"Riduce la difficoltà delle prove di CAR e FRT di 1 (fino a un minimo di 0) , la difficoltà delle prove su FOR aumenta di +1","Durevole","1",0,40,3,"Un leggero calmante e allucinogeno risalente a prima della Guerra, il Day Tripper era parecchio apprezzato dagli Americani in cerca di una breve fuga dalla realtà. L’estasi che ne derivava rendeva chi lo assumeva più disinvolto e rilassato, ma al contempo meno incline agli sforzi fisici. Durante le difficoltà della Grande Guerra, come le rivolte per il cibo e i problemi sociali generali esistenti prima della caduta delle bombe, era molto diffuso tra molti gruppi sociali. ƒ Dipendenza da Daytripper: Il fallimento di un tiro per la dipendenza rende assuefatti da Daytripper. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove di CAR e FRT aumenta di +1."
medsFury,"+3 alla Resistenza ai Danni Fisici . +3 ai danni in mischia , la difficoltà delle prove su PER aumenta di +2 .","Durevole","1",0,30,4,"Stimolatore da combattimento estremamente potente, il Fury garantisce a chi lo assume un senso di invincibilità, rendendolo praticamente immune al dolore e sconsideratamente pericoloso nei combattimenti in mischia, oltre a fargli ignorare in buona parte tutto il resto. ƒ Dipendenza da Fury: Il fallimento di un tiro per la dipendenza rende assuefatti da Fury. Quando non si è sotto i suoi effetti, la difficoltà di tutte le prove di FOR e PER aumenta di +1."
medsJet,"Le azioni extra costano 1 PA in meno","Breve",2,0,50,2,"Il Jet è uno stimolante per via inalatoria che induce uno stato di coscienza alterato in cui il tempo sembra rallentare, aumenta i riflessi e fa sì che chi lo assume agisca più velocemente nei momenti di crisi. ƒ Dipendenza da Jet: Il fallimento di un tiro per la dipendenza rende assuefatti da Jet. Quando non si è sotto l’effetto di un qualche tipo di Jet (Jet o Jet Fuel, mentre l’Ultra Jet ha un altro effetto), la difficoltà di tutte le prove di AGI aumenta di +1."
medsJetFuel,"Si ottiene 1 PA gratis all'inizio di ogni turno","Durevole","1",0,60,3,"Il Jet Fuel, una variante volatile del Jet, dà un’enorme scarica d’energia a chi lo assume, permettendogli di agire in maniera più tempestiva e decisa. ƒ Dipendenza da Jet: Il fallimento di un tiro per la dipendenza rende assuefatti da Jet. Quando non si è sotto l’effetto di un qualche tipo di Jet (Jet o Jet Fuel, mentre l’Ultra Jet ha un altro effetto), la difficoltà di tutte le prove di AGI aumenta di +1."
