ID,SKILL,DAMAGE_RATING,EFFECTS,DAMAGE_TYPE,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,DESCRIPTION,AMMO_TYPE,AVAILABLE_MODS
weaponBoard,meleeWeapons,4,[],Fisico,-,rangeR,"[""qualityTwoHanded""]",1.5,20,0,"Poco più che delle lunghe tavole di legno con un manico avvolto nel nastro adesivo, le assi sono delle armi pesanti da mischia solitamente predilette dai supermutanti, che possiedono la forza per utilizzarle in maniera efficace.",na,"Un’asse può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare"
weaponWalkingStick,meleeWeapons,3,[],Fisico,-,rangeR,[],1,10,0,"Un semplice bastone di quelli usati come ausilio da chi non cammina bene, il bastone da passeggio è abbastanza robusto da poter essere usato come arma improvvisata se non ci sono altre opzioni.",na,"Un bastone da passeggio può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare"
weaponWeaponStockOneHanded,meleeWeapons,2,"[""effectStunned""]",Fisico,-,rangeR,[],-,-,-,Un colpo dato col il calcio di un'arma ad una mano.,na,
weaponWeaponStock,meleeWeapons,3,"[""effectStunned""]",Fisico,-,rangeR,"[""qualityTwoHanded""]",-,-,-,Un colpo dato col il calcio di un'arma a due mani.,na,
weaponPipeWrench,meleeWeapons,3,[],Fisico,-,rangeR,[],1,30,1,"Si tratta di una pesante chiave idraulica regolabile in metallo, abbastanza lunga da poter essere utilizzata come arma da mischia artigianale. Spesso le ganasce regolabili sono sfruttate per tenere degli accessori, fatto che la rende molto semplice da modificare.",na,"Una chiave idraulica può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare. La difficoltà di ogni prova per installare una mod su una chiave idraulica è ridotta di 1."
weaponUnarmedStrike,unarmed,2,[],Fisico,-,rangeR,[],-,-,-,Un colpo dato a mani nude.,na,
weaponSwitchblade,meleeWeapons,2,"[""effectPiercing 1""]",Fisico,-,rangeR,"[""qualityConcealed""]",0.5,20,0,"Il coltello a serramanico è un’arma da mischia molto comune. Le sue piccole dimensioni lo rendono maneggevole e adatto a essere introdotto di nascosto in zone riservate, anche se non fa tanti danni quanto altri coltelli o spade più grandi.",na,"I coltelli a serramanico possono montare la seguente modifica, che viene installata con l’abilità Riparare."
weaponCombatKnife,meleeWeapons,3,"[""effectPiercing 1""]",Fisico,-,rangeR,[],0.5,25,1,"Spesso i soldati (e chi vuole imitarli) si portano dietro un coltello che serve sia per combattere, che per uso quotidiano. Di solito i Coltelli da Combattimento che si trovano nella Zona Contaminata sono dello stesso tipo di quelli in dotazione ai soldati dell’esercito americano durante la Grande Guerra, con una lama tronca a filo singolo. Si tratta di un’arma molto leggera e resistente, fatta per essere usata spesso.",na,"I Coltelli da combattimento possono montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponDeathclawGauntlet,unarmed,5,"[""effectPiercing 1""]",Fisico,-,rangeR,[],5,75,3,"Fatto con le dita mozzate e gli artigli di un deathclaw montati su un polsino stretto al polso, il Guanto consente a chi lo indossa di colpire con un po’ della forza del precedente proprietario degli artigli.",na,"Un guanto da deathclaw può montare la seguente modifica, che viene installata con l’abilità Riparare."
weaponBoxingGlove,unarmed,3,"[""effectStunned""]",Fisico,-,rangeR,[],0.5,10,1,"Un grosso guanto di pelle usato per proteggere mani e polsi quando si tirano pugni. Originariamente usato per gli incontri sportivi, un lottatore esperto li può usare per piazzare dei forti colpi in combattimenti concitati, soprattutto se li ha in qualche modo modificati.",na,"Un Guantone da Boxe può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponTireIron,meleeWeapons,3,"[""effectPiercing 1""]",Fisico,-,rangeR,[],1,25,1,"Si tratta di un semplice arnese a forma di L che si trova solitamente nelle auto e nei garage e che può diventare un’utile arma, se non la si usa per cambiare le gomme dell’auto.",na,"Una Leva per Ruote può montare la seguente modifica, che viene installata con l’abilità Riparare."
weaponMachete,meleeWeapons,3,"[""effectPiercing 1""]",Fisico,-,rangeR,[],1,25,1,"Si tratta di un lungo coltello affilato pensato per farsi strada attraverso una fitta vegetazione, fatto che lo rende sia un oggetto molto utile che un’arma efficace. Alcuni di quelli che si possono trovare nella Zona Contaminata sono veri e propri machete, mentre altri sono delle armi artigianali, composti generalmente da una lama affilata di metallo (presa per esempio da un tagliaerba) che viene inchiodata, legata, incollata o in qualche altro modo fissata a un semplice manico.",na,"I machete possono montare la seguente modifica, che è specifica e viene installata con l’abilità Riparare:"
weaponBaton,meleeWeapons,3,[],Fisico,-,rangeR,[],1,15,1,"Un bastone telescopico come quelli usati dalla polizia e dalle forze di sicurezza private prima della Grande Guerra. La sicurezza della Vault-tec ne aveva una riserva in ogni caveau, per cui sono tutt’oggi molto diffusi come un’arma da mischia leggera da intimidazione.",na,"Un manganello può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare:"
weaponSledgehammer,meleeWeapons,5,[],Fisico,-,rangeR,"[""qualityTwoHanded""]",6,40,2,"I martelli demolitori sono armi primitive che, prima della guerra, venivano usate come utensili per fare lavori edilizi o distruggere cose. Sebbene di solito non venga considerato un’arma potente, una persona forte (o un supermutante) lo può brandire come una clava e sfruttarne appieno il peso.",na,"Un martello demolitore può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponHammer,meleeWeapons,3,[],Fisico,-,rangeR,[],0.5,10,0,"È un solido cilindro di legno che si può trovare in qualsiasi cucina. Se non c’è nulla di più pericoloso, è abbastanza minaccioso da far desistere diversi aggressori.",na,"Un mattarello può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare"
weaponBaseballBat,meleeWeapons,4,[],Fisico,-,rangeR,"[""qualityTwoHanded""]",1.5,25,1,"Una volta le mazze da baseball erano usate nell’omonimo sport, considerato il passatempo numero uno dell’America nell’epoca antecedente alla Guerra. Duecento anni dopo, sono state riconvertite in delle rozze, ma efficaci armi da mischia. La maggior parte è formata da un singolo ciocco di legno (solitamente frassino, ma spesso vengono usati altri legni duri), ma se ne possono trovare alcune in alluminio, più leggere e dure.",na,"Una mazza da baseball può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare. Si possono apportare mod a una mazza in alluminio solo se si possiede il talento Fabbro 1."
weaponAluminumBaseballBat,meleeWeapons,5,[],Fisico,-,rangeR,"[""qualityTwoHanded""]",1,32,2,"Una volta le mazze da baseball erano usate nell’omonimo sport, considerato il passatempo numero uno dell’America nell’epoca antecedente alla Guerra. Duecento anni dopo, sono state riconvertite in delle rozze, ma efficaci armi da mischia. La maggior parte è formata da un singolo ciocco di legno (solitamente frassino, ma spesso vengono usati altri legni duri), ma se ne possono trovare alcune in alluminio, più leggere e dure.",na,
weaponStone,unarmed,2,"[""effectVicious""]",Fisico,-,rangeR,"[""qualityThrownC""]",0.5,-,-,"Un colpo dato con una roccia, un mattone, etc.",na,
weaponPowerFist,unarmed,4,"[""effectStunned""]",Fisico,-,rangeR,[],2,100,2,"I Pugni Potenziati non sono altro che guanti o avambracci pesanti rinforzati con un robusto ariete pneumatico sulle nocche. Pensati per essere utilizzati dalle squadre di demolizione, sono stati anche impiegati per scopi militari come fare breccia nelle fortificazioni e fare piazza pulita delle barricate nemiche... assieme ai nemici.",na,"Un pugno potenziato può montare una delle seguenti modifiche, che vengono installate con l’Abilità Riparare."
weaponRipper,meleeWeapons,4,"[""effectVicious""]",Fisico,-,rangeR,[],3,50,2,"Il ripper è una piccola sega elettrica militare portatile ampiamente impiegata nei conflitti armati antecedenti alla Grande Guerra, che è in grado di tagliare con facilità la carne come il metallo. Del ripper è stata fatta anche una versione in scala ridotta, disponibile sul mercato generale.",na,"I ripper possono montare una delle seguenti modifiche, che devono essere installate con l’abilità Riparare."
weaponShishkebab,meleeWeapons,5,"[""effectPiercing 1""]",Da Energia,-,rangeR,"[""qualityParry""]",1.5,200,3,"Lo Shishkebab è una “Spada Fiammeggiante” artigianale di cui si possono trovare diverse versioni nella Zona Contaminata: alcune costruite partendo da una spada vera e propria, mentre altre formate da diversi componenti. Tutte, però, hanno alcuni elementi in comune: una qualche sorta di serbatoio o bombola (che possono essere collegati all’arma con un tubo e trasportati da chi la utilizza, o direttamente attaccati a essa), una fiamma pilota e un meccanismo d’innesco solitamente rubato da una motocicletta. Quando vengono usati, il combustibile viene fatto scorrere lungo la lama e incendiato dalla fiamma pilota, che la ricopre di fiamme.",ammo_flamer_fuel,"Lo Shishkebab può montare la seguente modifica, che viene installata con l’abilità Riparare:"
weaponSword,meleeWeapons,4,"[""effectPiercing 1""]",Fisico,-,rangeR,"[""qualityParry""]",1.5,50,2,"Le spade sono antiche tanto quanto le guerre e fino alla Grande Guerra sono sempre state diffuse fra i soldati (soprattutto gli ufficiali) in tutto il mondo come simbolo di status e prestigio. Molte delle spade che si possono trovare nella Zona Contaminata sono quelle appartenute agli ufficiali cinesi durante la Grande Guerra, spesso prese dai campi di battaglia come trofei dalle truppe americane, mentre altre sono pezzi da museo o imitazioni provenienti da collezioni private, spesso simili alle sciabole utilizzate dalla cavalleria durante la Rivoluzione Americana.",na,"Le spade possono montare una delle seguenti modifiche, che sono specifiche e devono essere installate con l’Abilità Riparare."
weaponPoolCue,meleeWeapons,3,[],Fisico,-,rangeR,"[""qualityTwoHanded""]",0.5,10,0,"Si tratta di un pezzo di legno lungo e sottile, usato in giochi come il biliardo. Se non c’è nulla di più pesante, può essere utile come arma da mischia.",na,"Una stecca da biliardo può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponSuperSledge,meleeWeapons,6,"[""effectBreaking""]",Fisico,-,rangeR,"[""qualityTwoHanded""]",10,180,3,"I Super Martelli non sono che versioni potenziate di un normale martello. I vecchi modelli d’anteguerra erano dotati di dispositivi di stoccaggio di energia cinetica per aumentare la forza d’impatto, mentre quelli successivi montano un piccolo motore a razzo all’interno della testa del martello per accelerare il movimento e colpire più forte.",na,"Un super martello può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponKnuckles,unarmed,3,[],Fisico,-,rangeR,"[""qualityConcealed""]",0,10,1,"Creata nell’antichità, quest’arma è comunque molto diffusa nella Zona Contaminata che si è creata dopo la Grande Guerra. Il tirapugni d’ottone, o noccoliere, ha la forma di quattro anelli di metallo saldati in un arco convesso, con un paracolpi attaccato alla parte concava. Il combattente si infila gli anelli sulle dita, con il para",na,"Un tirapugni può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
weaponLeadPipe,meleeWeapons,3,[],Fisico,-,rangeR,[],1.5,15,0,"Si tratta di un lungo e pesante tubo in metallo (normalmente piombo) con un’impugnatura di nastro adesivo a un’estremità e alcuni dadi e bulloni attaccati all’altra. Violento, semplice e fa un male cane.",na,"Un tubo di piombo può montare una delle seguenti modifiche, che vengono installate con l’abilità Riparare."
