ID,TYPE,CATEGORY,EFFECT,HP_GAIN,RADIOACTIVE,WEIGHT,COST,RARITY
drinkPurifiedWater,aid,drinks,,3,0,0,20,1
drinkDirtyWater,aid,drinks,,2,1,0,5,0
drinkRefreshingBeverage,aid,drinks,Cura 10 danni da Radiazioni e guarisce da tutte le dipendenze,11,0,0.5,110,5
drinkBeer,aid,drinks,Alcolico,0,0,0.5,5,1
drinkBourbon,aid,drinks,"Alcolico , ripetere il tiro di 1d20 per le prove di COS",0,0,0.5,7,2
drinkDirtyWastelander,aid,drinks,"Alcolico , riduce la difficoltà di tutte le prove di FOR di 1 e aumenta la difficoltà di tutte le prove di INT di 2 (in totale)",0,0,0.5,10,3
drinkBrahminMilk,aid,drinks,Guarisce 2 danni da Radiazioni,1,0,0,15,2
drinkMoonshine,aid,drinks,"Alcolico , +2 ai PS massimi",0,0,0,30,3
drinkNukaCherry,aid,drinks,Si ottengono immediatamente 2 PA,3,1,0.5,40,3
drinkNukaCola,aid,drinks,Si ottiene immediatamente 1 PA,2,1,0.5,20,2
drinkNukaColaQuantum,aid,drinks,Si ottengono immediatamente 5 PA,10,1,0.5,50,5
drinkRum,aid,drinks,"Alcolico , ripetere il tiro di 1d20 su tutte le prove di AGI",0,0,0.5,8,2
drinkBloodPack,aid,drinks,,3,0,0,10,2
drinkGlowingBloodPack,aid,drinks,+5 alla Resistenza ai Danni da Radiazioni,4,0,0,30,3
drinkIrradiatedBlood,aid,drinks,"Quando lo si beve , tirare 2 invece di 1 per i danni da Radiazioni",3,1,0,50,2
drinkBerryJuice,aid,drinks,Si ottengono immediatamente +6 PA,3,0,0,5,4
drinkWatermelonJuice,aid,drinks,Si recupera 1 PS all'inizio di ogni turno,3,0,0,6,2
drinkMutfruitJuice,aid,drinks,Ripetere il tiro di 1d20 su tutte le prove di AGI,3,0,0,8,2
drinkTatoJuice,aid,drinks,+1 al massimale di PA che può essere mantenuto nella riserva di gruppo,3,0,0,7,3
drinkWine,aid,drinks,"Alcolico , si ottiene immediatamente 1 PA",0,0,0.5,5,3
drinkVodka,aid,drinks,Alcolico,2,0,0.5,5,3
drinkWhiskey,aid,drinks,"Alcolico, ritirare fino a 2d20 (in totale) nelle prove di FOR",0,0,0.5,5,3
drinkSunsetSarsaparilla,aid,drinks,,4,1,0.5,20,2
