ID,TYPE,SLOT_TYPE,DESCRIPTOR,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,WEAPON_TYPES
modBeamFocuser,mod,modSlotMuzzle,Focused,"[""rangeAdd:1""]",0.5,20,science,"[""science:1""]",2,"[""energyWeapons""]"
modCompensatingLens,mod,modSlotMuzzle,Aiming,"[""fireRateAdd:1"",""qualityRemove:qualityInaccurate""]",0.5,25,science,"[""science:1""]",2,"[""energyWeapons""]"
modBeamSplitter,mod,modSlotMuzzle,Fragmented,"[""damageAdd:-1"",""effectAdd:effectSpread"",""fireRateAdd:-1"",""qualityAdd:qualityInaccurate"",""rangeAdd:-1""]",0.5,15,science,"[""science:1""]",2,"[""energyWeapons""]"
modFullStockEnergy,mod,modSlotStock,-,"[""qualityAdd:qualityTwoHanded"",""effectAdd:effectPiercing:1"",""qualityRemove:qualityCloseQuarters""]",0.5,15,science,[],1,"[""energyWeapons""]"
modMarksmanStockEnergy,mod,modSlotStock,Marksman,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityAdd:qualityAccurate"",""qualityRemove:qualityCloseQuarters""]",1,20,science,"[""gunNut:2""]",2,"[""energyWeapons""]"
modRecoilCompensatingStockEnergy,mod,modSlotStock,Recoil Compensating,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""fireRateAdd:1"",""qualityRemove:qualityCloseQuarters""]",1,3,science,"[""gunNut:3""]",2,"[""energyWeapons""]"
modStandardStock,mod,modSlotStock,-,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityRemove:qualityCloseQuarters""]",0.5,10,science,[],1,"[""energyWeapons""]"
modAutomaticBarrel,mod,modSlotBarrel,Automatic,"[""damageAdd:-1"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:1""]",0.5,24,science,"[""science:1""]",2,"[""energyWeapons""]"
modShortReinforcedBarrel,mod,modSlotBarrel,-,"[""allowMuzzleMod:true""]",0,6,science,[],1,"[""energyWeapons""]"
modSniperBarrel,mod,modSlotBarrel,Sniper,"[""damageAdd:2"",""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""fireRateAdd:-1""]",1,30,science,"[""science:1""]",2,"[""energyWeapons""]"
modFlamerBarrel,mod,modSlotBarrel,Flamer,"[""damageAdd:-2"",""fireRateAdd:2"",""effectAdd:effectBurst"",""rangeAdd:-1"",""qualityAdd:qualityInaccurate""]",0.5,35,science,"[""science:2""]",3,"[""energyWeapons""]"
modLongBarrelEnergy,mod,modSlotBarrel,Long,"[""qualityRemove:qualityCloseQuarters"",""rangeAdd:1""]",1,20,science,[],1,"[""energyWeapons""]"
modLongReinforcedBarrel,mod,modSlotBarrel,-,"[""qualityRemove:qualityCloseQuarters"",""rangeAdd:1"",""allowMuzzleMod:true""]",1,25,science,"[""science:1""]",2,"[""energyWeapons""]"
modImprovedBarrel,mod,modSlotBarrel,Improved,"[""damageAdd:1""]",0.5,26,science,"[""science:1""]",2,"[""energyWeapons""]"
modSplitter,mod,modSlotBarrel,Dispersed,"[""damageAdd:-1"",""effectAdd:effectSpread"",""qualityAdd:qualityInaccurate""]",0.5,31,science,[],2,"[""energyWeapons""]"
modPhotonicAgitator,mod,modSlotCapacitor,Agitated,"[""damageAdd:1"",""effectAdd:effectVicious""]",0.5,35,science,"[""science:2""]",3,"[""energyWeapons""]"
modBoostedCapacitor,mod,modSlotCapacitor,Boosted,"[""damageAdd:1"",""fireRateAdd:-1""]",0,35,science,[],2,"[""energyWeapons""]"
modBetaWaveTuner,mod,modSlotCapacitor,Incendiary,"[""effectAdd:effectPersistent""]",0,30,science,[],2,"[""energyWeapons""]"
modPhotonicStimulator,mod,modSlotCapacitor,Stimulated,"[""effectAdd:effectVicious""]",0,30,science,"[""science:1""]",2,"[""energyWeapons""]"
modThreeChargeCapacitor,mod,modSlotCapacitor,Three Charge,"[""damageAdd:1"",""ammoConsumption:3""]",0,4,science,[],1,"[""energyWeapons""]"
modFourChargeCapacitor,mod,modSlotCapacitor,Four Charge,"[""damageAdd:2"",""ammoConsumption:4""]",0.5,8,science,"[""science:1""]",2,"[""energyWeapons""]"
modFiveChargeCapacitor,mod,modSlotCapacitor,Five Charge,"[""damageAdd:3"",""ammoConsumption:5""]",0.5,12,science,"[""science:2""]",3,"[""energyWeapons""]"
modSixChargeCapacitor,mod,modSlotCapacitor,Six Charge,"[""damageAdd:4"",""ammoConsumption:6""]",1,16,science,"[""science:3""]",4,"[""energyWeapons""]"
modMarksmanGripEnergy,mod,modSlotGrip,Marksman,"[""qualityRemove:qualityInaccurate"",""effectAdd:effectPiercing:1""]",0,10,science,"[""gunNut:1""]",1,"[""energyWeapons""]"
modShortScopeEnergy,mod,modSlotSight,With Scope,"[""qualityAdd:qualityAccurate""]",0.5,11,science,[],1,"[""energyWeapons""]"
modShortNightVisionScopeEnergy,mod,modSlotSight,Night Vision,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision""]",0.5,38,science,"[""science:2""]",3,"[""energyWeapons""]"
modReconScopeEnergy,mod,modSlotSight,Recon,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityRecon""]",0.5,59,science,"[""science:3""]",4,"[""energyWeapons""]"
modLongScopeEnergy,mod,modSlotSight,With Scope,"[""qualityAdd:qualityAccurate"",""rangeAdd:1""]",0.5,29,science,"[""science:2""]",2,"[""energyWeapons""]"
modLongNightVisionScopeEnergy,mod,modSlotSight,Night Vision,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision"",""rangeAdd:1""]",0.5,50,science,"[""science:3""]",4,"[""energyWeapons""]"
modReflexSightEnergy,mod,modSlotSight,Tactical,"[""rerollHitLocation:true""]",0,14,science,[],1,"[""energyWeapons""]"
modElectricSignalAntenna,mod,modSlotMuzzle,Electrified,"[""damageSet:7"",""damageTypeChange:energy"",""effectAdd:effectRadioactive""]",0,30,science,"[""science:4""]",4,"[""weaponGammaPistol""]"
modAutomaticSignalRepeater,mod,modSlotMuzzle,Automatic,"[""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityRemove:qualityBlast""]",0,60,science,"[""science:4""]",4,"[""weaponGammaPistol""]"
modDeepDish,mod,modSlotDish,Long,"[""damageAdd:1"",""rangeAdd:1""]",1,72,science,"[""science:4""]",4,"[""weaponGammaPistol""]"
