ID,TYPE,SLOT_TYPE,DESCRIPTOR,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,WEAPON_TYPES
modSpikedBoard,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,6,repair,[],1,"[""weaponBoard""]"
modPuncturedBoard,mod,modSlotMelee,Punctured,"[""damageAdd:2""]",0.5,9,repair,"[""blacksmith:1""]",1,"[""weaponBoard""]"
modSharpBoard,mod,modSlotMelee,Sharp,"[""damageAdd:2"",""effectAdd:effectPersistent""]",1,12,repair,"[""blacksmith:1""]",1,"[""weaponBoard""]"
modSpikedCane,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,"[""weaponWalkingCane""]"
modBarbedCane,mod,modSlotMelee,Barbed,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,"[""weaponWalkingCane""]"
modVeryHeavyWrench,mod,modSlotMelee,Very Heavy,"[""damageAdd:3""]",1,22,repair,"[""blacksmith:2""]",2,"[""weaponPipeWrench""]"
modHeavyWrench,mod,modSlotMelee,Heavy,"[""damageAdd:2""]",0.5,12,repair,"[""blacksmith:1""]",1,"[""weaponPipeWrench""]"
modPuncturedWrench,mod,modSlotMelee,Punctured,"[""damageAdd:2"",""effectAdd:effectPiercing:1""]",0.5,13,repair,"[""blacksmith:1""]",1,"[""weaponPipeWrench""]"
modHookedWrench,mod,modSlotMelee,Hooked,"[""damageAdd:1""]",0,9,repair,[],1,"[""weaponPipeWrench""]"
modSerratedSwitchblade,mod,modSlotMelee,Serrated,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,10,repair,"[""blacksmith:1""]",2,"[""weaponSwitchblade""]"
modSerratedCombatKnife,mod,modSlotMelee,Serrated,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,12,repair,"[""blacksmith:1""]",2,"[""weaponCombatKnife""]"
modStealthCombatKnife,mod,modSlotMelee,Stealth,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,18,repair,"[""blacksmith:2""]",3,"[""weaponCombatKnife""]"
modExtraClawDeathclaw,mod,modSlotMelee,Extra Claw,"[""damageAdd:1""]",1,22,repair,[],4,"[""weaponDeathclawGauntlet""]"
modSpikedBoxingGlove,mod,modSlotMelee,Spiked,"[""effectAdd:effectPiercing:1""]",0,3,repair,[],1,"[""weaponBoxingGlove""]"
modPuncturedBoxingGlove,mod,modSlotMelee,Punctured,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,4,repair,"[""blacksmith:1""]",1,"[""weaponBoxingGlove""]"
modLeadedBoxingGlove,mod,modSlotMelee,Leaded,"[""damageAdd:2""]",0.5,7,repair,"[""blacksmith:1""]",1,"[""weaponBoxingGlove""]"
modSharpTireIron,mod,modSlotMelee,Sharp,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,12,repair,"[""blacksmith:2""]",2,"[""weaponTireIron""]"
modSerratedMachete,mod,modSlotMelee,Serrated,"[""damageAdd:2"",""effectAdd:effectPersistent""]",0,12,repair,"[""blacksmith:2""]",2,"[""weaponMachete""]"
modElectrifiedBaton,mod,modSlotMelee,Electrified,"[""damageAdd:2"",""damageTypeSet:energy""]",0,15,repair,"[""blacksmith:2"",""science:1""]",3,"[""weaponBaton""]"
modStunningBaton,mod,modSlotMelee,Stunning,"[""damageAdd:3"",""damageTypeSet:energy"",""effectAdd:effectStun""]",0,30,repair,"[""blacksmith:2"",""science:1""]",2,"[""weaponBaton""]"
modHeavySledgehammer,mod,modSlotMelee,Heavy,"[""damageAdd:2""]",4.5,30,repair,"[""blacksmith:2""]",2,"[""weaponSledgehammer""]"
modPuncturedSledgehammer,mod,modSlotMelee,Punctured,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",2.5,18,repair,"[""blacksmith:2""]",2,"[""weaponSledgehammer""]"
modSharpRollingPin,mod,modSlotMelee,Sharp,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0,3,repair,[],1,"[""weaponRollingPin""]"
modSpikedRollingPin,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0,3,repair,[],1,"[""weaponRollingPin""]"
modSharpBaseballBat,mod,modSlotMelee,Sharp,"[""damageAdd:1"",""effectAdd:effectPersistent""]",0.5,7,repair,[],1,"[""weaponBaseballBat""]"
modChainBaseballBat,mod,modSlotMelee,Chain,"[""damageAdd:2""]",0.5,10,repair,"[""blacksmith:1""]",2,"[""weaponBaseballBat""]"
modSpikedBaseballBat,mod,modSlotMelee,Spiked,"[""damageAdd:1"",""effectAdd:effectPiercing:1""]",0.5,7,repair,[],1,"[""weaponBaseballBat""]"
