ID,TYPE,SLOT_TYPE,DESCRIPTOR,EFFECTS,WEIGHT,COST,SKILL,PERKS,RARITY,WEAPON_TYPES
modBayonet,mod,modSlotMuzzle,With Bayonet,"[""qualityAdd:qualityMelee"",""meleeDamage:4"",""effectAdd:effectPiercing:1""]",1,10,repair,[],1,"[""smallGuns""]"
modCompensator,mod,modSlotMuzzle,With Compensator,"[""qualityRemove:qualityInaccurate""]",0.5,15,repair,"[""gunNut:1""]",1,"[""smallGuns""]"
modFlashHider,mod,modSlotMuzzle,With Flash Hider,"[""qualityRemove:qualityInaccurate"",""fireRateAdd:1""]",0.5,30,repair,"[""gunNut:1""]",2,"[""smallGuns""]"
modSuppressor,mod,modSlotMuzzle,With Suppressor,"[""qualityAdd:qualitySuppressed""]",1,45,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modFullStock,mod,modSlotStock,-,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate""]",0.5,10,repair,[],1,"[""smallGuns""]"
modMarksmanStock,mod,modSlotStock,Marksman,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""qualityAdd:qualityAccurate""]",1,20,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modRecoilCompensatingStock,mod,modSlotStock,Recoil Compensating,"[""qualityAdd:qualityTwoHanded"",""qualityRemove:qualityInaccurate"",""fireRateAdd:1""]",1,3,repair,"[""gunNut:3""]",2,"[""smallGuns""]"
modFinnedBarrel,mod,modSlotBarrel,Finned,"[""damageAdd:1"",""rangeAdd:1""]",1,15,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modPortedBarrel,mod,modSlotBarrel,Ported,"[""rangeAdd:1"",""fireRateAdd:1""]",0.5,35,repair,"[""gunNut:4""]",3,"[""smallGuns""]"
modLongBarrel,mod,modSlotBarrel,Long,"[""rangeAdd:1""]",0.5,20,repair,"[""gunNut:1""]",2,"[""smallGuns""]"
modSawedOffBarrel,mod,modSlotBarrel,Sawed-Off,"[""qualityRemove:qualityTwoHanded"",""qualityAdd:qualityCloseQuarters""]",-1,3,repair,[],1,"[""smallGuns""]"
modShortBarrel,mod,modSlotBarrel,Short,"[""qualityAdd:qualityInaccurate""]",-0.5,0,repair,[],1,"[""smallGuns""]"
modShieldedBarrel,mod,modSlotBarrel,Shielded,"[""damageAdd:1""]",0,37,repair,"[""gunNut:3"",""science:1""]",3,"[""smallGuns""]"
modStableBarrel,mod,modSlotBarrel,Stable,"[""qualityAdd:qualityReliable""]",0,10,repair,"[""gunNut:3""]",2,"[""smallGuns""]"
modVentedBarrel,mod,modSlotBarrel,Vented,"[""rangeAdd:1"",""fireRateAdd:1"",""qualityAdd:qualityReliable""]",0.5,36,repair,"[""gunNut:4""]",3,"[""smallGuns""]"
modLargeMagazine,mod,modSlotMagazine,High Capacity,"[""fireRateAdd:1"",""qualityAdd:qualityUnreliable""]",0.5,8,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modLargeQuickMagazine,mod,modSlotMagazine,High Capacity Quick,"[""fireRateAdd:1""]",0.5,23,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modQuickMagazine,mod,modSlotMagazine,Quick,"[""qualityAdd:qualityReliable""]",0,8,repair,"[""gunNut:1""]",1,"[""smallGuns""]"
modAutomatic,mod,modSlotReceiver,Auto,"[""damageAdd:-1"",""fireRateAdd:2"",""effectAdd:effectBurst"",""qualityAdd:qualityInaccurate""]",0.5,30,repair,"[""gunNut:1""]",2,"[""smallGuns""]"
modAdvanced,mod,modSlotReceiver,Advanced,"[""damageAdd:3"",""fireRateAdd:1""]",1,35,repair,"[""gunNut:2""]",3,"[""smallGuns""]"
modCalibrated,mod,modSlotReceiver,Calibrated,"[""effectAdd:effectVicious""]",0,25,repair,[],2,"[""smallGuns""]"
modReceiver308,mod,modSlotReceiver,.308,"[""damageSet:7"",""ammoSet:ammo308""]",2,40,repair,"[""gunNut:4""]",3,"[""smallGuns""]"
modReceiver38,mod,modSlotReceiver,.38,"[""damageSet:4"",""ammoSet:ammo38""]",1.5,20,repair,"[""gunNut:4""]",2,"[""smallGuns""]"
modReceiver45,mod,modSlotReceiver,.45,"[""damageSet:4"",""fireRateAdd:1"",""ammoSet:ammo45""]",1,19,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modReceiver50,mod,modSlotReceiver,.50,"[""damageSet:8"",""effectAdd:effectVicious"",""ammoSet:ammo50""]",2,30,repair,"[""gunNut:4""]",3,"[""smallGuns""]"
modAutomaticPistonReceiver,mod,modSlotReceiver,Automatic,"[""fireRateAdd:2"",""rangeAdd:-1""]",1,75,repair,"[""gunNut:2""]",3,"[""smallGuns""]"
modHairTrigger,mod,modSlotReceiver,Hair Trigger,"[""fireRateAdd:1""]",0,20,repair,"[""gunNut:2""]",2,"[""smallGuns""]"
modPowerful,mod,modSlotReceiver,Powerful,"[""damageAdd:2""]",0.5,25,repair,"[""gunNut:1""]",2,"[""smallGuns""]"
modWeaponHardened,mod,modSlotReceiver,Hardened,"[""damageAdd:1""]",0,20,repair,[],1,"[""smallGuns""]"
modFullCapacitor,mod,modSlotCapacitor,High Capacity,"[""effectAdd:effectVicious""]",0,37,repair,"[""gunNut:3"",""science:2""]",3,"[""smallGuns""]"
modBoostedCoilCapacitor,mod,modSlotCapacitor,Maximum Capacity,"[""damageAdd:1"",""effectAdd:effectVicious""]",1,82,repair,"[""gunNut:4"",""science:3""]",4,"[""smallGuns""]"
modErgonomicGrip,mod,modSlotGrip,Ergonomic,"[""qualityRemove:qualityInaccurate""]",0,6,repair,[],1,"[""smallGuns""]"
modMarksmanGrip,mod,modSlotGrip,Marksman,"[""qualityRemove:qualityInaccurate"",""effectAdd:effectPiercing:1""]",0,10,repair,"[""gunNut:1""]",1,"[""smallGuns""]"
modShortScope,mod,modSlotSight,With Scope,"[""qualityAdd:qualityAccurate""]",0.5,11,repair,[],1,"[""smallGuns""]"
modShortNightVisionScope,mod,modSlotSight,Night Vision,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision""]",0.5,38,science,"[""science:2""]",3,"[""smallGuns""]"
modReconScope,mod,modSlotSight,Recon,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityRecon""]",0.5,59,science,"[""science:3""]",4,"[""smallGuns""]"
modLongScope,mod,modSlotSight,With Scope,"[""rangeAdd:1"",""qualityAdd:qualityAccurate""]",0.5,29,science,"[""science:2""]",2,"[""smallGuns""]"
modLongNightVisionScope,mod,modSlotSight,Night Vision,"[""qualityAdd:qualityAccurate"",""qualityAdd:qualityNightVision"",""rangeAdd:1""]",0.5,50,science,"[""science:3""]",4,"[""smallGuns""]"
modReflexSight,mod,modSlotSight,Tactical,"[""rerollHitLocation:true""]",0,14,repair,[],1,"[""smallGuns""]"
