ID,TYPE,CATEGORY,DAMAGE_RATING,DAMAGE_TYPES,FIRE_RATE,RANGE,EFFECTS,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS
weaponFatMan,weapon,bigGuns,21,"[""physical""]",0,rangeM,"[""effectBreaking"",""effectRadioactive"",""effectVicious""]","[""qualityTwoHanded"", ""qualityBlast"", ""qualityInaccurate""]",15.5,512,4,ammoMiniNuke,[]
weaponIncinerator,weapon,bigGuns,5,"[""energy""]",3,rangeM,"[""effectPersistent"",""effectSpread"",""effectBurst""]","[""qualityTwoHanded"", ""qualityDebilitating""]",10,350,4,ammoFlamerFuel,[]
weaponJunkJet,weapon,bigGuns,6,"[""physical""]",1,rangeM,[],"[""qualityTwoHanded""]",15,285,3,anything,"[""modCombustionModule"", ""modElectrificationModule"", ""modRecoilCompensatingStockJunkJet"", ""modLongBarrelJunkJet"", ""modGunnerSight""]"
weaponFlamethrower,weapon,bigGuns,3,"[""energy""]",4,rangeC,"[""effectPersistent"",""effectSpread"",""effectBurst""]","[""qualityTwoHanded"", ""qualityInaccurate"", ""qualityDebilitating""]",8,137,3,ammoFlamerFuel,"[""modLongBarrelFlamethrower"", ""modNapalm"", ""modLargeTank"", ""modHugeTank"", ""modCompressionNozzle"", ""modVaporizerNozzle""]"
weaponMissileLauncher,weapon,bigGuns,11,"[""physical""]",0,rangeL,[],"[""qualityTwoHanded"", ""qualityBlast""]",10.5,314,4,ammoMissile,"[""modBayonetMissileLauncher"", ""modStabilizer"", ""modTripleBarrel"", ""modQuadBarrel"", ""modTargetingComputer"", ""modScopeMissileLauncher"", ""modNightVisionScopeMissileLauncher""]"
weaponGatlingLaser,weapon,bigGuns,3,"[""energy""]",6,rangeM,"[""effectPiercing:1"",""effectBurst""]","[""qualityTwoHanded"", ""qualityGatling"", ""qualityInaccurate""]",9.5,804,3,"ammoFusionCell,ammoFusionCore","[""modChargingBarrels"", ""modPhotonicAgitatorGatling"", ""modBoostedCapacitorGatling"", ""modBetaWaveTunerGatling"", ""modPhotonicStimulatorGatling"", ""modReflexSightGatling"", ""modBeamFocuserGatling""]"
weaponMinigun,weapon,bigGuns,3,"[""physical""]",5,rangeM,"[""effectSpread"",""effectBurst""]","[""qualityTwoHanded"", ""qualityGatling"", ""qualityInaccurate""]",13.5,382,2,ammo5mm,"[""modShredder"", ""modAcceleratedBarrel"", ""modTripleBarrelMinigun"", ""modGunnerSightMinigun""]"
weaponMrHandyFlamethrower,weapon,bigGuns,3,"[""energy""]",4,rangeC,"[""effectPersistent"",""effectSpread"",""effectBurst""]","[""qualityInaccurate"", ""qualityDebilitating"", ""qualityMrHandyOnly""]",0,137,3,ammoFlamerFuel,[]
weapon50CalMachineGun,weapon,bigGuns,7,"[""physical""]",3,rangeM,"[""effectBurst""]","[""qualityTwoHanded"",""qualityRecoil:9""]",15.5,350,3,ammo50Ball,"[""modHeavyBarrel""]"
weaponAutoGrenadeLauncher,weapon,bigGuns,6,"[""physical""]",2,rangeL,"[""effectBreaking""]","[""qualityBombard"",""qualityInaccurate""]",15.0,450,4,ammo40mmGrenade,"[""modHeavyBarrel"",""modLongBarrel"",""mod25mmGrenadeReceiver""]"
weaponDroneCannon,weapon,bigGuns,8,"[""energy""]",0,rangeM,"[""effectBreaking""]","[""qualityAmmoHungry:20"",""qualityBlast"",""qualityInaccurate"",""qualitySlowLoad""]",9.0,600,5,ammoAlienPowerModule,[]
weaponGatlingGun,weapon,bigGuns,3,"[""physical""]",3,rangeM,"[""effectBurst"",""effectSpread""]","[""qualityGatling"",""qualityInaccurate"",""qualityRecoil:6"",""qualityTwoHanded""]",10.0,350,1,ammo5mm,"[""modSpeedyReceiver"",""modLongBarrel"",""modComfortGrip"",""modExtraLargeMagazine"",""modFrontSightRing"",""modLargeBayonet""]"
weaponGatlingPlasma,weapon,bigGuns,4,"[""physical"",""energy""]",4,rangeM,"[""effectBurst""]","[""qualityGatling"",""qualityInaccurate"",""qualityTwoHanded""]",12.0,1000,4,ammoPlasmaCartridge,"[""modPortedBarrel"",""modComfortGrip"",""modReflexSight"",""modBeamSplitter"",""modBeamFocuser""]"
weaponGaussMinigun,weapon,bigGuns,6,"[""physical""]",3,rangeL,"[""effectBurst"",""effectPiercing:1""]","[""qualityGatling"",""qualityTwoHanded""]",19.0,912,6,ammo2mmec,"[""modTriBarrel"",""modPentaBarrel"",""modTeslaCoilCapacitor"",""modTeslaCoilDynamo"",""modGunnerSight""]"
weaponPlasmaCaster,weapon,bigGuns,8,"[""physical"",""energy""]",3,rangeM,"[""effectBurst""]","[""qualityInaccurate"",""qualityRecoil:8"",""qualityTwoHanded""]",15.0,700,5,ammoPlasmaCartridge,"[""modCalibratedCapacitor"",""modPulseCapacitor"",""modHighSpeedElectrode"",""modLongBarrel""]"
weaponTeslaCannon,weapon,bigGuns,8,"[""energy""]",0,rangeL,"[""effectArc"",""effectPiercing:2""]","[""qualityAccurate"",""qualityAmmoHungry:5"",""qualitySurge"",""qualityTwoHanded""]",12.0,870,5,ammoFusionCell,[]
