ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPE,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS
weaponLaserPistol,weapon,energyWeapons,4,"[""effectPiercing:1""]",energy,2,rangeC,"[""qualityCloseQuarters""]",2,69,2,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modMarksmanStockEnergy"", ""modRecoilCompensatingStockEnergy"", ""modStandardStock"", ""modLongBarrelEnergy"", ""modAutomaticBarrel"", ""modSniperBarrel"", ""modImprovedBarrel"", ""modPhotonicStimulator"", ""modBetaWaveTuner"", ""modBoostedCapacitor"", ""modPhotonicAgitator"", ""modMarksmanGripEnergy"", ""modReflexSightEnergy"", ""modShortScopeEnergy"", ""modLongScopeEnergy"", ""modShortNightVisionScopeEnergy"", ""modLongNightVisionScopeEnergy"", ""modReconScopeEnergy""]"
weaponInstituteLaser,weapon,energyWeapons,3,"[""effectBurst""]",energy,3,rangeC,"[""qualityCloseQuarters"", ""qualityInaccurate""]",2,50,2,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modStandardStock"", ""modAutomaticBarrel"", ""modLongBarrelEnergy"", ""modImprovedBarrel"", ""modPhotonicAgitator"", ""modBoostedCapacitor"", ""modBetaWaveTuner"", ""modPhotonicStimulator"", ""modShortScopeEnergy"", ""modShortNightVisionScopeEnergy"", ""modReconScopeEnergy"", ""modLongScopeEnergy"", ""modLongNightVisionScopeEnergy"", ""modReflexSightEnergy""]"
weaponLaserMusket,weapon,energyWeapons,5,"[""effectPiercing:1""]",energy,0,rangeM,"[""qualityTwoHanded""]",6.5,57,1,ammoFusionCell,"[""modBeamFocuser"", ""modCompensatingLens"", ""modBeamSplitter"", ""modFullStockEnergy"", ""modShortReinforcedBarrel"", ""modLongBarrelEnergy"", ""modLongReinforcedBarrel"", ""modThreeChargeCapacitor"", ""modFourChargeCapacitor"", ""modFiveChargeCapacitor"", ""modSixChargeCapacitor"", ""modShortScopeEnergy"", ""modShortNightVisionScopeEnergy"", ""modReconScopeEnergy"", ""modLongScopeEnergy"", ""modLongNightVisionScopeEnergy"", ""modReflexSightEnergy""]"
weaponPlasmaPistol,weapon,energyWeapons,6,[],"[""physical"",""energy""]",1,rangeC,"[""qualityCloseQuarters""]",2,123,3,ammoPlasmaCartridge,"[""modMarksmanStockEnergy"", ""modRecoilCompensatingStockEnergy"", ""modStandardStock"", ""modAutomaticBarrel"", ""modSniperBarrel"", ""modFlamerBarrel"", ""modImprovedBarrel"", ""modSplitter"", ""modPhotonicAgitator"", ""modBoostedCapacitor"", ""modBetaWaveTuner"", ""modPhotonicStimulator"", ""modShortScopeEnergy"", ""modShortNightVisionScopeEnergy"", ""modReconScopeEnergy"", ""modLongScopeEnergy"", ""modLongNightVisionScopeEnergy"", ""modReflexSightEnergy""]"
weaponGammaPistol,weapon,energyWeapons,3,"[""effectPiercing:1"",""effectStun""]",radiation,1,rangeM,"[""qualityBlast"", ""qualityInaccurate""]",1.5,156,5,ammoGammaRound,"[""modElectricSignalAntenna"", ""modAutomaticSignalRepeater"", ""modDeepDish""]"
weaponMrHandyLaserEmitter,weapon,energyWeapons,4,"[""effectPiercing:1""]",energy,2,rangeC,"[""qualityCloseQuarters"", ""qualityMrHandyOnly""]",0,69,2,ammoFusionCell,[]
weaponAlienAtomizer,weapon,energyWeapons,6,"[""effectVicious""]",energy,3,rangeC,"[""qualityCloseQuarters"",""qualityReliable""]",1.5,1536,5,ammoAlienPowerCell,"[]"
weaponAlienDisintegrator,weapon,energyWeapons,8,"[""effectVicious""]",energy,2,rangeM,"[""qualityTwoHanded"",""qualityReliable""]",3.5,921,5,ammoAlienPowerCell,"[]"
weaponArcWelder,weapon,energyWeapons,3,"[""effectStun""]",energy,4,rangeC,"[""qualitySurge"",""qualityTwoHanded""]",7.5,370,4,ammoElectronChargePack,"[]"
weaponAssaultronHead,weapon,energyWeapons,5,"[""effectPiercing:1""]",energy,0,rangeC,"[]",4.0,500,3,ammoFusionCell,"[""modCapacitorMk3"",""modCapacitorMk4"",""modCapacitorMk5"",""modCapacitorMk6""]"
weaponMicrowaveEmitter,weapon,energyWeapons,6,"[""effectPersistent"",""effectPiercing:3""]",energy,1,rangeM,"[""qualityTwoHanded""]",4.0,500,5,ammoFusionCell,"[]"
weaponTeslaRifle,weapon,energyWeapons,5,"[""effectArc""]",energy,2,rangeM,"[""qualityTwoHanded""]",4.0,180,4,ammoFusionCell,"[""modAutomaticBarrel"",""modSplitterBarrel"",""modImprovedBarrel"",""modAmplifiedBeamSplitter"",""modFineTunedBeamFocuser"",""modQuantumGyroCompensatingLens"",""modReflexSight""]"
