ID,TYPE,DAMAGE_RATING,EFFECTS,DAMAGE_TYPE,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS
weaponHandmadeBoltAction,smallGuns,5,"[""effectPiercing:1""]",physical,0,rangeC,"[""qualityInaccurate""]",1.5,30,0,ammo308,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modCalibrated"", ""modReceiver38"", ""modReceiver50"", ""modPowerful"", ""modWeaponHardened"", ""modMarksmanGrip"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponDoubleBarrelShotgun,smallGuns,5,"[""effectSpread"",""effectVicious""]",physical,0,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",4.5,39,1,ammoShotgunShell,"[""modFlashHider"", ""modFullStock"", ""modLongBarrel"", ""modSawedOffBarrel"", ""modAdvanced"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modReflexSight""]"
weaponCombatShotgun,smallGuns,5,"[""effectSpread""]",physical,2,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",5.5,87,2,ammoShotgunShell,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponAssaultRifle,smallGuns,5,"[""effectBurst""]",physical,2,rangeM,"[""qualityTwoHanded""]",6.5,144,2,ammo556mm,"[""modCompensator"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponHuntingRifle,smallGuns,6,"[""effectPiercing:1""]",physical,0,rangeM,"[""qualityTwoHanded""]",5,55,2,ammo308,"[""modBayonet"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modCalibrated"", ""modReceiver38"", ""modReceiver50"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponCombatRifle,smallGuns,5,[],physical,2,rangeM,"[""qualityTwoHanded""]",5.5,117,2,ammo45,"[""modBayonet"", ""modCompensator"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modPortedBarrel"", ""modLongBarrel"", ""modVentedBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modReceiver38"", ""modReceiver308"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponGaussRifle,smallGuns,10,"[""effectPiercing:1""]",physical,1,rangeL,"[""qualityTwoHanded""]",8,228,4,ammo2mmec,"[""modSuppressor"", ""modRecoilCompensatingStock"", ""modShieldedBarrel"", ""modFullCapacitor"", ""modBoostedCoilCapacitor"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponNailGun,smallGuns,10,"[""effectBreaking""]",physical,0,rangeM,"[""qualityTwoHanded"", ""qualityUnreliable"", ""qualityCrippling""]",7,290,4,ammoRailwaySpike,"[""modBayonet"", ""modRecoilCompensatingStock"", ""modLongBarrel"", ""modAutomaticPistonReceiver"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponMachineGun,smallGuns,3,"[""effectBurst""]",physical,3,rangeC,"[""qualityTwoHanded"", ""qualityInaccurate""]",6,109,1,ammo45,"[""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modRecoilCompensatingStock"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modReflexSight""]"
weaponFortyFourPistol,smallGuns,6,"[""effectVicious""]",physical,1,rangeC,"[""qualityCloseQuarters""]",2,99,2,ammo44Magnum,"[""modShortBarrel"", ""modStableBarrel"", ""modAdvanced"", ""modPowerful"", ""modWeaponHardened"", ""modErgonomicGrip"", ""modShortScope"", ""modReconScope"", ""modReflexSight""]"
weaponTenMillimeterPistol,smallGuns,4,[],physical,2,rangeC,"[""qualityReliable"", ""qualityCloseQuarters""]",2,50,1,ammo10mm,"[""modCompensator"", ""modSuppressor"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modErgonomicGrip"", ""modMarksmanGrip"", ""modReconScope"", ""modReflexSight""]"
weaponHandmadePistol,smallGuns,3,[],physical,2,rangeC,"[""qualityCloseQuarters"", ""qualityUnreliable""]",1,30,0,ammo38,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modCalibrated"", ""modReceiver45"", ""modHairTrigger"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponFlareGun,smallGuns,3,[],physical,0,rangeM,"[""qualityReliable""]",1,50,1,ammoMissile,[]
weaponHandmadeRevolver,smallGuns,4,[],physical,1,rangeC,"[""qualityCloseQuarters"", ""qualityUnreliable""]",2,25,0,ammo45,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modCalibrated"", ""modReceiver38"", ""modReceiver308"", ""modPowerful"", ""modWeaponHardened"", ""modMarksmanGrip"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponSyringer,smallGuns,3,[],physical,0,rangeM,"[""qualityTwoHanded""]",3,132,2,ammoSyringer,"[""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modLongBarrel"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponMrHandyAutomaticPistol,smallGuns,4,"[""effectBurst""]",physical,3,rangeC,"[""qualityReliable"", ""qualityCloseQuarters"", ""qualityMrHandyOnly""]",0,50,1,ammo10mm,[]
